product_id,old_name,category,base_price,quantity,status,region,priority,user_id,price,amount
P00026,Wireless Mouse,Electronics,1293.29,5,Completed,East,Medium,U0971,1293.29,6466.45
P00027,Mixer,Sports,4665.13,6,Cancelled,North,Low,U0747,4665.13,27990.78
P00028,Headphones,Clothing,613.7,1,Completed,East,Low,U0137,613.70,613.7
P00029,Running Shoes,Electronics,1412.92,6,Completed,South,Low,U1385,1412.92,8477.52
P00030,Face Wash,Electronics,2648.95,2,Completed,South,Medium,U0282,2648.95,5297.9
P00031,Mixer,Books,2872.14,6,Completed,South,Low,U1226,2872.14,17232.84
P00032,Wireless Mouse,Clothing,175.02,5,Completed,South,Low,U1019,175.02,875.1
P00033,Wireless Mouse,Sports,3924.81,7,Completed,North,Medium,U0744,3924.81,27473.67
P00034,T-Shirt,Electronics,1871.88,6,Cancelled,West,Low,U0531,1871.88,11231.28
P00035,T-Shirt,Sports,2091.45,3,Completed,North,Medium,U0016,2091.45,6274.35
P00036,Novel,Beauty,4065.91,1,Completed,East,High,U1005,4065.91,4065.91
P00037,Headphones,Sports,1958.49,5,Pending,North,Medium,U0568,1958.49,9792.45
P00038,Mixer,Home,331.4,7,Completed,North,Medium,U1138,331.40,2319.8
P00039,Mixer,Home,964.55,4,Completed,East,Medium,U1092,964.55,3858.2
P00040,Novel,Sports,4783.93,6,Completed,South,High,U0030,,28703.58
P00041,Running Shoes,Home,444.99,5,Completed,East,High,U0664,444.99,2224.95
P00042,Running Shoes,Beauty,1839.16,4,Completed,East,High,U0999,1839.16,7356.64
P00043,Novel,Clothing,2565.58,4,Completed,West,Low,U0875,2565.58,10262.32
P00044,Running Shoes,Home,2517.08,2,Completed,West,High,U0022,2517.08,5034.16
P00045,T-Shirt,Home,119.4,2,Returned,South,High,U1455,119.40,238.8
P00046,Mixer,Sports,2555.7,7,Pending,East,High,U1054,2555.70,17889.9
P00047,Novel,Beauty,1980.49,5,Completed,East,Medium,U0956,1980.49,9902.45
P00048,Mixer,Clothing,4863.19,7,Pending,East,High,U0660,4863.19,34042.33
P00049,Wireless Mouse,Sports,879.88,5,Completed,North,Low,,879.88,4399.4
P00050,T-Shirt,Sports,1835.36,3,Completed,West,High,U1073,1835.36,5506.08
P00051,Face Wash,Books,2155.46,1,Completed,West,Low,U0325,2155.46,2155.46
P00052,T-Shirt,Beauty,2014.4,1,Completed,South,High,U1322,2014.40,2014.4
P00053,Novel,Clothing,3362.57,5,Pending,West,Medium,U0181,3362.57,16812.85
P00054,Face Wash,Beauty,1156.01,2,Completed,West,Low,U0122,1156.01,2312.02
P00055,Wireless Mouse,Clothing,1183.25,6,Completed,South,High,U0124,1183.25,7099.5
P00056,Novel,Beauty,3673.13,7,Completed,East,Medium,U1477,3673.13,25711.91
P00057,Headphones,Sports,2551.42,3,Completed,North,Medium,U0266,2551.42,7654.26
P00058,Mixer,Sports,2134.26,1,Completed,South,Low,U0028,2134.26,2134.26
P00059,Wireless Mouse,Electronics,929.09,5,Pending,West,High,U1283,929.09,4645.45
P00060,Mixer,Home,1018.88,2,Returned,South,Medium,U0077,1018.88,2037.76
P00061,Running Shoes,Books,151.7,2,Completed,West,Medium,U0432,151.70,303.4
P00062,Headphones,Beauty,547.99,2,Completed,East,Medium,U0879,547.99,1095.98
P00063,Headphones,Books,2828.51,7,Completed,East,Medium,U0894,2828.51,19799.57
P00064,Wireless Mouse,Electronics,4470.18,6,Pending,East,Medium,U1059,4470.18,26821.08
P00065,Headphones,Home,1507.11,4,Completed,West,Medium,U0436,1507.11,6028.44
P00066,Face Wash,Beauty,1705.96,7,Completed,South,Medium,U1138,1705.96,11941.72
P00067,Headphones,Clothing,666.47,6,Pending,West,Medium,U1086,666.47,3998.82
P00068,Mixer,Home,2004.29,2,Completed,East,High,U0052,2004.29,4008.58
P00069,Mixer,Sports,282.39,5,Completed,East,Medium,U0116,282.39,1411.95
P00070,Novel,Electronics,4596.24,3,Completed,East,Medium,U0047,4596.24,13788.72
P00071,Mixer,Home,3398.25,6,Completed,West,Low,U0438,3398.25,20389.5
P00072,Novel,Home,4954.67,5,Completed,North,Medium,U1436,4954.67,24773.35
P00073,Mixer,Sports,4425.83,7,Completed,East,High,U0101,4425.83,30980.81
P00074,Face Wash,Beauty,2417.65,7,Completed,South,Low,U1303,2417.65,16923.55
P00075,Novel,Clothing,2646.46,2,Completed,East,Medium,U0107,2646.46,5292.92
P00076,T-Shirt,Sports,1033.82,3,Returned,West,Low,U0983,1033.82,3101.46
P00077,Running Shoes,Clothing,2363.99,1,Completed,South,Low,U1059,2363.99,2363.99
P00078,Wireless Mouse,Beauty,4524.84,1,Pending,West,Low,U1001,4524.84,4524.84
P00079,Mixer,Home,349.18,7,Completed,North,High,U0359,349.18,2444.26
P00080,Headphones,Clothing,4331.43,5,Completed,North,High,U0887,4331.43,21657.15
P00081,Mixer,Electronics,1770.64,3,Completed,West,Low,U0800,1770.64,5311.92
P00082,Headphones,Electronics,4507.61,5,Completed,East,Medium,U1026,4507.61,22538.05
P00083,Running Shoes,Sports,4710.31,3,Completed,South,Low,U1296,4710.31,14130.93
P00084,Running Shoes,Beauty,3387.24,3,Completed,East,High,U1168,3387.24,10161.72
P00085,Running Shoes,Sports,3355.68,7,Completed,West,Medium,U0435,3355.68,23489.76
P00086,Headphones,Sports,2318.5,5,Completed,West,Low,U1475,2318.50,11592.5
P00087,Mixer,Books,4194.15,7,Returned,East,Low,U0604,4194.15,29359.05
P00088,Running Shoes,Sports,4811.9,3,Completed,South,High,U0566,4811.90,14435.7
P00089,Face Wash,Books,3897.9,6,Completed,South,Medium,,3897.90,23387.4
P00090,Novel,Electronics,3147.49,2,Completed,South,Low,U0228,3147.49,6294.98
P00091,Headphones,Electronics,3073.29,3,Completed,South,Medium,U0545,3073.29,9219.87
P00092,Headphones,Sports,4262.4,6,Pending,South,High,U1238,4262.40,25574.4
P00093,Mixer,Electronics,2751.9,3,Completed,North,Medium,U0648,2751.90,8255.7
P00094,Headphones,Beauty,4038.91,6,Completed,North,Medium,U0248,,24233.46
P00095,Headphones,Books,2593.54,5,Completed,West,Medium,U1432,2593.54,12967.7
P00096,Running Shoes,Books,405.98,1,Pending,North,Medium,U1077,405.98,405.98
P00097,Mixer,Sports,1981.34,4,Completed,South,Medium,U0314,1981.34,7925.36
P00098,Running Shoes,Electronics,2277.76,3,Completed,South,High,U1398,2277.76,6833.28
P00099,Novel,Clothing,793.92,4,Completed,South,Low,U0037,793.92,3175.68
P00100,Novel,Books,602.23,3,Completed,West,Medium,U0724,602.23,1806.69
P00101,Running Shoes,Sports,2723.78,5,Completed,West,Low,U0980,2723.78,13618.9
P00102,Novel,Sports,517.2,5,Cancelled,East,Low,U0084,517.20,2586.0
P00103,Mixer,Beauty,1584.43,6,Pending,North,Medium,U0900,1584.43,9506.58
P00104,Wireless Mouse,Home,3748.53,3,Completed,North,High,U1118,3748.53,11245.59
P00105,Running Shoes,Home,4825.72,5,Completed,East,Low,,4825.72,24128.6
P00106,Face Wash,Books,3617.57,5,Completed,East,High,U1366,3617.57,18087.85
P00107,Face Wash,Beauty,4963.87,3,Completed,North,Low,U0719,4963.87,14891.61
P00108,Headphones,Beauty,3521.86,6,Completed,South,Medium,U0550,3521.86,21131.16
P00109,Novel,Beauty,1539.59,6,Completed,North,Low,U1445,1539.59,9237.54
P00110,Face Wash,Books,3393.06,6,Returned,South,Medium,U1372,3393.06,20358.36
P00111,Headphones,Home,3540.57,6,Completed,West,Medium,U0715,3540.57,21243.42
P00112,Wireless Mouse,Beauty,1921.46,1,Cancelled,North,Medium,U0587,1921.46,1921.46
P00113,Mixer,Electronics,186.8,3,Completed,North,Medium,U1152,186.80,560.4
P00114,Mixer,Sports,3545.68,7,Completed,West,Medium,U0152,3545.68,24819.76
P00115,Mixer,Sports,206.33,1,Completed,West,Medium,U1062,206.33,206.33
P00116,Face Wash,Clothing,3192.82,5,Pending,West,Medium,U1451,3192.82,15964.1
P00117,Wireless Mouse,Clothing,901.72,1,Completed,West,High,U1129,901.72,901.72
P00118,Face Wash,Books,2871.46,7,Cancelled,West,Medium,U0165,2871.46,20100.22
P00119,Novel,Books,2569.17,7,Cancelled,East,Low,U0938,2569.17,17984.19
P00120,Face Wash,Sports,166.22,7,Pending,East,Low,U0212,166.22,1163.54
P00121,Wireless Mouse,Electronics,1878.04,6,Pending,West,High,U0526,1878.04,11268.24
P00122,Wireless Mouse,Home,3045.35,5,Pending,West,Low,U0742,3045.35,15226.75
P00123,Novel,Home,4258.17,1,Pending,West,High,U0132,4258.17,4258.17
P00124,Wireless Mouse,Books,4454.35,1,Completed,West,Medium,U1176,4454.35,4454.35
P00125,Wireless Mouse,Electronics,2470.86,3,Pending,South,Medium,U0096,2470.86,7412.58
P00126,Mixer,Books,3669.27,1,Cancelled,South,Low,U1013,3669.27,3669.27
P00127,Novel,Home,1650.63,5,Completed,West,High,U0522,1650.63,8253.15
P00128,T-Shirt,Books,1776.71,6,Returned,West,High,U0374,1776.71,10660.26
P00129,T-Shirt,Beauty,1052.87,3,Completed,North,High,U1040,1052.87,3158.61
P00130,Wireless Mouse,Books,2853.55,1,Completed,West,Low,U0608,2853.55,2853.55
P00131,T-Shirt,Sports,1641.36,3,Completed,West,High,U0018,1641.36,4924.08
P00132,T-Shirt,Books,513.42,4,Completed,East,Medium,U1433,513.42,2053.68
P00133,Wireless Mouse,Sports,3456.53,3,Pending,South,Medium,U1031,3456.53,10369.59
P00134,T-Shirt,Electronics,3567.99,7,Cancelled,West,Low,U1269,3567.99,24975.93
P00135,Face Wash,Home,1863.96,6,Pending,South,Medium,U0978,1863.96,11183.76
P00136,Headphones,Clothing,475.94,7,Returned,South,High,U0879,475.94,3331.58
P00137,Novel,Clothing,2188.86,4,Completed,North,Low,U0594,2188.86,8755.44
P00138,Headphones,Home,2267.44,7,Completed,South,Low,U0643,2267.44,15872.08
P00139,Wireless Mouse,Clothing,3376.49,4,Completed,South,Low,U0129,3376.49,13505.96
P00140,Mixer,Books,1645.54,3,Pending,West,Low,U0801,1645.54,4936.62
P00141,Novel,Electronics,3444.74,5,Completed,East,Medium,U0455,3444.74,17223.7
P00142,Wireless Mouse,Electronics,4370.29,6,Returned,West,High,U0876,4370.29,26221.74
P00143,Mixer,Home,1263.68,5,Completed,West,Low,U0571,1263.68,6318.4
P00144,Headphones,Clothing,4896.71,6,Returned,East,Medium,,4896.71,29380.26
P00145,Wireless Mouse,Books,1993.2,6,Completed,East,Medium,U1014,1993.20,11959.2
P00146,Novel,Electronics,1409.57,7,Completed,North,Low,U1184,1409.57,9866.99
P00147,Novel,Electronics,2165.4,7,Pending,East,Medium,U1111,2165.40,15157.8
P00148,Running Shoes,Beauty,562.55,5,Pending,West,Low,U0401,562.55,2812.75
P00149,Face Wash,Beauty,715.96,2,Completed,East,Medium,U0462,715.96,1431.92
P00150,T-Shirt,Electronics,2130.73,4,Cancelled,East,Low,U0089,2130.73,8522.92
P00151,Mixer,Home,3835.98,7,Cancelled,East,Medium,U0823,3835.98,26851.86
P00152,Running Shoes,Sports,4511.53,7,Completed,South,Low,U0006,4511.53,31580.71
P00153,T-Shirt,Sports,3357.61,7,Completed,North,High,U0945,3357.61,23503.27
P00154,T-Shirt,Books,615.58,3,Completed,South,High,U0084,615.58,1846.74
P00155,Wireless Mouse,Electronics,3392.9,5,Completed,South,Low,U1274,3392.90,16964.5
P00156,T-Shirt,Electronics,3213.6,5,Pending,North,Medium,U1440,3213.60,16068.0
P00157,Face Wash,Electronics,4048.24,7,Completed,South,Low,U1096,4048.24,28337.68
P00158,Novel,Home,4143.72,3,Completed,East,High,U0621,4143.72,12431.16
P00159,Running Shoes,Beauty,4354.2,7,Completed,North,Medium,U1136,4354.20,30479.4
P00160,T-Shirt,Electronics,2129.24,4,Completed,,High,U0172,2129.24,8516.96
P00161,Wireless Mouse,Electronics,3519.54,3,Completed,West,Low,U0699,3519.54,10558.62
P00162,Face Wash,Clothing,1414.43,7,Completed,South,Low,U0273,1414.43,9901.01
P00163,Headphones,Home,4996.75,6,Completed,West,Medium,U0530,4996.75,29980.5
P00164,Novel,Books,959.14,2,Completed,East,Low,U0319,959.14,1918.28
P00165,Novel,Electronics,149.56,6,Returned,West,Medium,U1106,149.56,897.36
P00166,Running Shoes,Clothing,829.16,2,Completed,South,Low,U1099,829.16,1658.32
P00167,Novel,Sports,3901.77,3,Completed,South,High,U0429,3901.77,11705.31
P00168,T-Shirt,Books,2289.24,6,Completed,South,High,U1484,2289.24,13735.44
P00169,Wireless Mouse,Electronics,2292.75,4,Completed,North,Low,U0847,2292.75,9171.0
P00170,Novel,Electronics,4779.61,6,Completed,North,Medium,U1370,4779.61,28677.66
P00171,Novel,Clothing,4606.21,5,Pending,South,Medium,U0249,4606.21,23031.05
P00172,Headphones,Home,1624.85,2,Completed,South,Medium,U0387,1624.85,3249.7
P00173,Headphones,Electronics,1124.38,2,Returned,East,Medium,U0363,1124.38,2248.76
P00174,Mixer,Sports,4257.56,7,Completed,North,Low,U1320,4257.56,29802.92
P00175,Face Wash,Electronics,4539.49,4,Cancelled,North,Low,U0068,4539.49,18157.96
P00176,T-Shirt,Sports,2753.82,2,Cancelled,North,Medium,U0438,2753.82,5507.64
P00177,Novel,Books,3184.18,2,Completed,West,High,U1016,3184.18,6368.36
P00178,Novel,Books,1358.88,7,Completed,South,High,U1157,1358.88,9512.16
P00179,Wireless Mouse,Beauty,4023.93,4,Completed,East,Low,U1319,4023.93,16095.72
P00180,Mixer,Beauty,3197.4,6,Completed,East,Medium,U0296,3197.40,19184.4
P00181,Face Wash,Sports,2567.22,3,Cancelled,South,High,U0647,2567.22,7701.66
P00182,Mixer,Home,394.53,6,Completed,South,Low,U0033,394.53,2367.18
P00183,Running Shoes,Electronics,4588.08,5,Completed,East,Medium,U1398,4588.08,22940.4
P00184,Face Wash,Electronics,3115.71,5,Cancelled,West,Medium,U0032,3115.71,15578.55
P00185,Novel,Beauty,1044.19,2,Returned,East,Medium,U0555,1044.19,2088.38
P00186,Novel,Sports,3071.29,5,Completed,West,Medium,U0305,3071.29,15356.45
P00187,Face Wash,Electronics,3419.57,3,Cancelled,West,High,U0793,3419.57,10258.71
P00188,Novel,Electronics,2676.27,2,Completed,North,Low,U1132,2676.27,5352.54
P00189,T-Shirt,Home,3618.7,7,Pending,South,High,,3618.70,25330.9
P00190,Face Wash,Clothing,2949.12,5,Pending,North,Low,U1090,2949.12,14745.6
P00191,Mixer,Beauty,4744.07,7,Pending,West,Medium,U0521,4744.07,33208.49
P00192,Face Wash,Beauty,363.12,1,Completed,East,High,U0230,363.12,363.12
P00193,Novel,Clothing,620.6,1,Completed,North,High,U0733,620.60,620.6
P00194,T-Shirt,Electronics,950.99,1,Completed,East,Low,U0358,950.99,950.99
P00195,T-Shirt,Home,3481.84,7,Completed,West,Medium,U0402,3481.84,24372.88
P00196,Running Shoes,Home,3263.42,1,Completed,East,Low,U0790,3263.42,3263.42
P00197,Mixer,Beauty,4471.09,6,Pending,North,Low,U0099,4471.09,26826.54
P00198,Headphones,Home,3691.1,1,Completed,West,Medium,U0271,3691.10,3691.1
P00199,Headphones,Books,2590.94,2,Completed,South,Medium,U0362,2590.94,5181.88
P00200,Face Wash,Clothing,4959.98,4,Cancelled,North,Medium,U1188,4959.98,19839.92
P00201,Running Shoes,Electronics,1403.93,6,Cancelled,North,Medium,U0528,1403.93,8423.58
P00202,Wireless Mouse,Books,4182.64,4,Completed,South,Medium,U1193,4182.64,16730.56
P00203,Face Wash,Clothing,2191.27,2,Completed,West,Low,U1045,2191.27,4382.54
P00204,Running Shoes,Sports,3278.8,2,Returned,South,Medium,U0540,3278.80,6557.6
P00205,Mixer,Beauty,3663.62,3,Cancelled,North,High,U0595,3663.62,10990.86
P00206,Mixer,Home,3205.4,6,Completed,West,High,U0833,3205.40,19232.4
P00207,Mixer,Sports,788.49,4,Completed,East,Medium,U0397,788.49,3153.96
P00208,Mixer,Home,2270.46,1,Completed,North,Low,U1060,2270.46,2270.46
P00209,Mixer,Books,2851.05,2,Pending,East,Medium,U0495,2851.05,5702.1
P00210,Running Shoes,Electronics,4260.31,1,Completed,South,Medium,U0314,4260.31,4260.31
P00211,Running Shoes,Electronics,2273.86,4,Completed,West,Low,U0490,2273.86,9095.44
P00212,T-Shirt,Electronics,4601.86,7,Completed,South,Medium,U1300,4601.86,32213.02
P00213,Headphones,Home,2257.83,6,Cancelled,East,High,U0233,2257.83,13546.98
P00214,Novel,Sports,2789.02,5,Completed,North,Medium,U1460,2789.02,13945.1
P00215,Mixer,Electronics,4001.8,7,Completed,West,Medium,U1030,4001.80,28012.6
P00216,Wireless Mouse,Sports,2957.03,7,Returned,South,Medium,U0664,2957.03,20699.21
P00217,Novel,Home,4805.07,5,Completed,East,Low,U0244,4805.07,24025.35
P00218,Running Shoes,Books,3335.65,2,Completed,East,Low,U0241,3335.65,6671.3
P00219,Wireless Mouse,Sports,2661.28,3,Pending,North,High,U0558,2661.28,7983.84
P00220,Wireless Mouse,Books,215.6,1,Completed,East,Low,U1297,215.60,215.6
P00221,Wireless Mouse,Home,2127.29,2,Cancelled,West,Low,U0075,2127.29,4254.58
P00222,T-Shirt,Home,1566.32,3,Completed,East,Medium,U0283,1566.32,4698.96
P00223,Running Shoes,Beauty,3765.72,1,Completed,North,High,U0087,3765.72,3765.72
P00224,Wireless Mouse,Home,1120.56,4,Cancelled,South,High,U0881,1120.56,4482.24
P00225,Mixer,Home,1105.58,7,Completed,West,Low,U0930,1105.58,7739.06
P00226,Face Wash,Clothing,1028.64,7,Pending,South,Medium,U1173,1028.64,7200.48
P00227,Wireless Mouse,Electronics,715.52,5,Completed,South,Medium,U1174,715.52,3577.6
P00228,T-Shirt,Beauty,1623.93,3,Completed,East,Medium,U0160,1623.93,4871.79
P00229,Novel,Beauty,4441.02,1,Cancelled,East,Medium,,4441.02,4441.02
P00230,Running Shoes,Beauty,3897.15,2,Completed,North,Low,U0082,3897.15,7794.3
P00231,T-Shirt,Clothing,3702.73,1,Completed,East,High,U1031,3702.73,3702.73
P00232,Wireless Mouse,Books,4006.95,2,Completed,East,Medium,U0182,4006.95,8013.9
P00233,Running Shoes,Home,1420.15,7,Completed,South,Medium,U0870,1420.15,9941.05
P00234,Face Wash,Electronics,4448.46,5,Pending,West,Medium,U0966,4448.46,22242.3
P00235,Wireless Mouse,Sports,772.79,5,Pending,East,Low,U0478,772.79,3863.95
P00236,T-Shirt,Books,1748.09,1,Pending,West,Medium,U0183,1748.09,1748.09
P00237,Headphones,Home,2975.07,1,Pending,East,Low,U1338,2975.07,2975.07
P00238,Mixer,Clothing,604.23,2,Completed,,Low,U0174,604.23,1208.46
P00239,Novel,Home,3677.64,2,Completed,North,Medium,U0014,3677.64,7355.28
P00240,T-Shirt,Home,1997.51,3,Pending,East,High,U1324,1997.51,5992.53
P00241,Running Shoes,Clothing,3943.59,7,Completed,North,Low,U0073,3943.59,27605.13
P00242,Wireless Mouse,Beauty,2515.19,3,Completed,South,Medium,U0514,2515.19,7545.57
P00243,Mixer,Beauty,986.29,3,Returned,West,Medium,U0602,986.29,2958.87
P00244,Wireless Mouse,Electronics,3700.33,1,Completed,East,Medium,U0343,3700.33,3700.33
P00245,Running Shoes,Electronics,1335.51,6,Completed,North,Low,U1420,1335.51,8013.06
P00246,Wireless Mouse,Beauty,2504.97,6,Completed,South,Medium,U0333,2504.97,15029.82
P00247,Headphones,Books,470.11,6,Pending,East,Low,U0355,470.11,2820.66
P00248,Mixer,Sports,3127.55,6,Completed,North,High,U0847,3127.55,18765.3
P00249,Mixer,Home,3362.7,3,Completed,North,Medium,U0163,3362.70,10088.1
P00250,Running Shoes,Sports,1955.5,1,Returned,South,High,U0116,1955.50,1955.5
P00251,Novel,Home,4776.67,6,Pending,East,Low,U1427,4776.67,28660.02
P00252,Headphones,Beauty,4383.43,5,Cancelled,East,High,U1103,4383.43,21917.15
P00253,T-Shirt,Electronics,3568.91,4,Completed,West,Low,U1471,3568.91,14275.64
P00254,Wireless Mouse,Books,3596.9,5,Completed,East,High,U1032,3596.90,17984.5
P00255,Face Wash,Electronics,1336.77,1,Completed,North,Medium,U1047,1336.77,1336.77
P00256,Wireless Mouse,Sports,3318.39,1,Completed,West,Medium,U0791,3318.39,3318.39
P00257,Wireless Mouse,Electronics,1071.21,4,Completed,West,Low,U0543,1071.21,4284.84
P00258,T-Shirt,Beauty,805.62,2,Completed,East,Low,U0414,805.62,1611.24
P00259,Wireless Mouse,Books,4997.39,2,Completed,West,Medium,U0682,4997.39,9994.78
P00260,Headphones,Sports,3149.64,2,Pending,North,Medium,U0642,3149.64,6299.28
P00261,Headphones,Books,2211.84,3,Pending,North,Medium,U1433,2211.84,6635.52
P00262,Mixer,Home,1512.01,2,Completed,South,Low,U0669,1512.01,3024.02
P00263,Running Shoes,Electronics,3059.21,7,Completed,North,Low,U0022,3059.21,21414.47
P00264,Novel,Books,343.01,3,Completed,South,High,U1427,343.01,1029.03
P00265,Face Wash,Clothing,563.94,3,Completed,West,High,U0969,563.94,1691.82
P00266,Wireless Mouse,Electronics,261.0,2,Completed,South,Low,U1181,261.00,522.0
P00267,Wireless Mouse,Home,2545.93,2,Completed,East,Medium,U0330,2545.93,5091.86
P00268,T-Shirt,Books,3042.97,4,Cancelled,South,High,U1046,3042.97,12171.88
P00269,Running Shoes,Sports,406.15,6,Pending,East,High,U1496,406.15,2436.9
P00270,Headphones,Home,3634.0,4,Completed,West,Low,U1288,3634.00,14536.0
P00271,Face Wash,Clothing,1228.94,3,Cancelled,South,High,U1327,1228.94,3686.82
P00272,Mixer,Books,3457.49,4,Pending,North,Medium,U0902,3457.49,13829.96
P00273,Headphones,Beauty,4911.3,3,Pending,East,Medium,U0724,4911.30,14733.9
P00274,Running Shoes,Electronics,3486.42,1,Completed,West,Medium,U1489,3486.42,3486.42
P00275,Novel,Sports,4427.65,3,Completed,North,Medium,,4427.65,13282.95
P00276,Mixer,Beauty,4746.17,3,Pending,East,Medium,U1160,4746.17,14238.51
P00277,Novel,Books,2485.08,4,Completed,West,Medium,U0252,2485.08,9940.32
P00278,T-Shirt,Books,3541.39,6,Pending,West,Medium,U0205,3541.39,21248.34
P00279,T-Shirt,Home,4274.65,1,Returned,North,Medium,U1326,4274.65,4274.65
P00280,Wireless Mouse,Books,1847.38,5,Pending,West,Medium,U1266,1847.38,9236.9
P00281,Novel,Sports,1380.85,5,Completed,South,Low,U0832,1380.85,6904.25
P00282,Running Shoes,Beauty,4738.33,6,Completed,West,Low,U0791,4738.33,28429.98
P00283,Face Wash,Sports,3658.89,5,Pending,East,Medium,U1085,3658.89,18294.45
P00284,Mixer,Clothing,1176.44,1,Returned,East,High,U0465,1176.44,1176.44
P00285,Headphones,Clothing,2300.51,2,Completed,East,High,U1326,2300.51,4601.02
P00286,Running Shoes,Electronics,4002.61,1,Cancelled,South,Low,U1496,4002.61,4002.61
P00287,Running Shoes,Electronics,2780.61,4,Cancelled,North,Medium,U0394,2780.61,11122.44
P00288,T-Shirt,Clothing,3284.77,7,Completed,South,Low,U1021,3284.77,22993.39
P00289,Novel,Books,3793.46,3,Cancelled,South,High,,,11380.38
P00290,Wireless Mouse,Sports,3147.85,3,Completed,South,Low,U0912,3147.85,9443.55
P00291,Wireless Mouse,Clothing,2746.39,4,Completed,West,Medium,U1283,2746.39,10985.56
P00292,Mixer,Electronics,3773.11,4,Completed,North,Medium,U0530,3773.11,15092.44
P00293,T-Shirt,Clothing,3665.06,7,Pending,West,High,U1211,3665.06,25655.42
P00294,Running Shoes,Books,3186.37,7,Pending,South,Low,U1236,3186.37,22304.59
P00295,Face Wash,Clothing,1862.97,3,Completed,East,Low,U1059,1862.97,5588.91
P00296,T-Shirt,Sports,2088.48,7,Cancelled,South,Medium,,2088.48,14619.36
P00297,Mixer,Beauty,4855.15,7,Pending,North,Medium,U1306,4855.15,33986.05
P00298,Mixer,Books,650.69,7,Pending,East,Low,U1273,650.69,4554.83
P00299,T-Shirt,Electronics,1415.67,6,Completed,North,Medium,U0057,1415.67,8494.02
P00300,Mixer,Sports,2512.77,2,Completed,South,Medium,U1329,2512.77,5025.54
P00301,T-Shirt,Clothing,4199.98,7,Completed,North,High,U0522,4199.98,29399.86
P00302,Headphones,Clothing,902.01,2,Cancelled,West,Low,U0361,902.01,1804.02
P00303,T-Shirt,Beauty,1457.08,2,Completed,East,Low,U1261,1457.08,2914.16
P00304,Novel,Electronics,422.41,4,Returned,North,High,U0234,422.41,1689.64
P00305,T-Shirt,Electronics,3559.33,7,Pending,East,Medium,U0223,3559.33,24915.31
P00306,Mixer,Home,1267.23,3,Pending,East,High,U0327,1267.23,3801.69
P00307,Novel,Electronics,2004.51,6,Pending,South,High,U1122,2004.51,12027.06
P00308,Mixer,Beauty,2274.14,3,Completed,South,Low,U1250,2274.14,6822.42
P00309,Wireless Mouse,Home,4467.44,7,Pending,East,Low,,4467.44,31272.08
P00310,Wireless Mouse,Home,2115.52,3,Completed,North,Low,U0489,2115.52,6346.56
P00311,Novel,Clothing,811.6,7,Cancelled,East,High,U0478,811.60,5681.2
P00312,Headphones,Clothing,2669.14,6,Pending,South,Medium,U0985,2669.14,16014.84
P00313,Wireless Mouse,Electronics,4818.49,1,Pending,North,Low,U1358,4818.49,4818.49
P00314,T-Shirt,Home,3077.66,6,Pending,East,Low,U0792,3077.66,18465.96
P00315,Mixer,Clothing,4918.6,1,Completed,South,High,U0512,4918.60,4918.6
