sku,product_name,category,warehouse,stock_quantity,reorder_level
SKU00172,Product 172,Apparel,WH-MUM,41,17
SKU00173,Product 173,Beauty,WH-BLR,104,49
SKU00174,Product 174,Home,WH-PUN,432,15
SKU00175,Product 175,Books,WH-MUM,70,44
SKU00176,Product 176,Electronics,WH-PUN,416,24
SKU00177,Product 177,Beauty,WH-HYD,457,47
SKU00178,Product 178,Toys,WH-BLR,147,37
SKU00179,Product 179,Apparel,WH-HYD,152,32
SKU00180,Product 180,Books,WH-BLR,347,15
SKU00181,Product 181,Home,WH-MUM,336,48
SKU00182,Product 182,Toys,WH-MUM,499,33
SKU00183,Product 183,Beauty,WH-PUN,487,17
SKU00184,Product 184,Electronics,WH-PUN,188,47
SKU00185,Product 185,Electronics,WH-MUM,163,34
SKU00186,Product 186,Apparel,WH-DEL,359,44
SKU00187,Product 187,Sports,WH-PUN,229,47
SKU00188,Product 188,Beauty,WH-BLR,245,25
SKU00189,Product 189,Books,WH-DEL,499,18
SKU00190,Product 190,Electronics,WH-MUM,101,19
SKU00191,Product 191,Toys,WH-BLR,414,25
SKU00192,Product 192,Apparel,WH-PUN,416,43
SKU00193,Product 193,Toys,WH-BLR,323,16
SKU00194,Product 194,Sports,WH-HYD,338,10
SKU00195,Product 195,Apparel,WH-MUM,393,11
SKU00196,Product 196,Books,WH-BLR,312,41
SKU00197,Product 197,Home,WH-DEL,8,11
SKU00198,Product 198,Home,WH-BLR,398,44
SKU00199,Product 199,Beauty,WH-HYD,469,37
SKU00200,Product 200,Home,WH-HYD,263,12
SKU00201,Product 201,Beauty,WH-BLR,415,34
SKU00202,Product 202,Books,WH-BLR,21,39
SKU00203,Product 203,Beauty,WH-PUN,161,48
SKU00204,Product 204,Beauty,WH-BLR,214,36
SKU00205,Product 205,Electronics,WH-MUM,257,23
SKU00206,Product 206,Beauty,WH-BLR,497,43
SKU00207,Product 207,Toys,WH-PUN,29,43
SKU00208,Product 208,Apparel,WH-BLR,499,22
SKU00209,Product 209,Toys,WH-DEL,452,46
SKU00210,Product 210,Electronics,WH-DEL,235,48
SKU00211,Product 211,Sports,WH-PUN,408,20
SKU00212,Product 212,Beauty,WH-HYD,150,13
SKU00213,Product 213,Books,WH-HYD,323,33
SKU00214,Product 214,Sports,WH-HYD,50,18
SKU00215,Product 215,Electronics,WH-PUN,53,42
SKU00216,Product 216,Books,WH-HYD,338,22
SKU00217,Product 217,Beauty,WH-PUN,206,21
SKU00218,Product 218,Books,WH-DEL,258,37
SKU00219,Product 219,Sports,WH-HYD,278,10
SKU00220,Product 220,Beauty,WH-HYD,7,42
SKU00221,Product 221,Sports,WH-DEL,348,20
SKU00222,Product 222,Sports,WH-DEL,249,29
SKU00223,Product 223,Toys,WH-BLR,372,33
SKU00224,Product 224,Sports,WH-MUM,87,34
SKU00225,Product 225,Sports,WH-DEL,165,37
SKU00226,Product 226,Sports,WH-DEL,,38
SKU00227,Product 227,Apparel,WH-BLR,305,50
SKU00228,Product 228,Electronics,WH-PUN,146,49
SKU00229,Product 229,Beauty,WH-PUN,402,38
SKU00230,Product 230,Apparel,WH-DEL,4,12
SKU00231,Product 231,Electronics,WH-PUN,285,23
SKU00232,Product 232,Sports,WH-DEL,135,49
SKU00233,Product 233,Toys,WH-MUM,279,26
SKU00234,Product 234,Sports,WH-HYD,131,45
SKU00235,Product 235,Electronics,WH-MUM,293,44
SKU00236,Product 236,Apparel,WH-MUM,126,36
SKU00237,Product 237,Toys,WH-MUM,460,44
SKU00238,Product 238,Books,WH-HYD,193,50
SKU00239,Product 239,Beauty,WH-DEL,69,21
SKU00240,Product 240,Apparel,WH-DEL,51,42
SKU00241,Product 241,Electronics,WH-HYD,352,37
SKU00242,Product 242,Books,WH-HYD,382,29
SKU00243,Product 243,Home,WH-PUN,28,46
SKU00244,Product 244,Books,WH-MUM,243,24
SKU00245,Product 245,Electronics,WH-PUN,327,41
SKU00246,Product 246,Books,WH-PUN,,10
SKU00247,Product 247,Books,WH-BLR,431,38
SKU00248,Product 248,Apparel,WH-MUM,268,25
SKU00249,Product 249,Beauty,WH-DEL,,18
SKU00250,Product 250,Books,WH-PUN,214,43
SKU00251,Product 251,Electronics,WH-MUM,254,15
SKU00252,Product 252,Toys,WH-MUM,170,41
SKU00253,Product 253,Books,WH-DEL,276,25
SKU00254,Product 254,Books,WH-HYD,323,22
SKU00255,Product 255,Electronics,WH-MUM,365,20
SKU00256,Product 256,Electronics,WH-HYD,498,31
SKU00257,Product 257,Apparel,WH-MUM,198,40
SKU00258,Product 258,Sports,WH-MUM,304,26
SKU00259,Product 259,Apparel,WH-DEL,126,41
SKU00260,Product 260,Sports,WH-BLR,499,38
SKU00261,Product 261,Books,WH-DEL,115,32
SKU00262,Product 262,Toys,WH-PUN,332,40
SKU00263,Product 263,Beauty,WH-BLR,209,12
SKU00264,Product 264,Home,WH-DEL,270,38
SKU00265,Product 265,Home,WH-HYD,266,26
SKU00266,Product 266,Electronics,WH-DEL,459,31
SKU00267,Product 267,Beauty,WH-MUM,226,36
SKU00268,Product 268,Beauty,WH-BLR,496,17
SKU00269,Product 269,Sports,WH-HYD,307,42
SKU00270,Product 270,Home,WH-HYD,339,31
SKU00271,Product 271,Apparel,WH-MUM,323,31
SKU00272,Product 272,Toys,WH-MUM,339,19
SKU00273,Product 273,Home,WH-PUN,134,37
SKU00274,Product 274,Beauty,WH-BLR,205,49
SKU00275,Product 275,Sports,WH-PUN,91,13
SKU00276,Product 276,Apparel,WH-BLR,237,36
SKU00277,Product 277,Sports,WH-MUM,241,12
SKU00278,Product 278,Books,WH-DEL,221,16
SKU00279,Product 279,Toys,WH-MUM,160,16
SKU00280,Product 280,Sports,WH-BLR,116,38
SKU00281,Product 281,Apparel,WH-PUN,367,36
SKU00282,Product 282,Sports,WH-PUN,343,23
SKU00283,Product 283,Sports,WH-BLR,121,22
SKU00284,Product 284,Sports,WH-PUN,427,43
SKU00285,Product 285,Apparel,WH-BLR,199,32
SKU00286,Product 286,Home,WH-HYD,331,42
SKU00287,Product 287,Beauty,WH-BLR,378,46
SKU00288,Product 288,Beauty,WH-DEL,211,13
SKU00289,Product 289,Home,WH-HYD,116,33
SKU00290,Product 290,Home,WH-PUN,254,13
SKU00291,Product 291,Home,WH-BLR,286,41
SKU00292,Product 292,Electronics,WH-MUM,333,47
SKU00293,Product 293,Beauty,WH-BLR,82,40
SKU00294,Product 294,Books,WH-MUM,118,10
SKU00295,Product 295,Beauty,WH-DEL,331,13
SKU00296,Product 296,Electronics,WH-BLR,373,37
SKU00297,Product 297,Toys,WH-MUM,211,34
SKU00298,Product 298,Toys,WH-DEL,325,47
SKU00299,Product 299,Beauty,WH-DEL,409,28
SKU00300,Product 300,Toys,WH-DEL,309,46
SKU00301,Product 301,Toys,WH-DEL,464,10
SKU00302,Product 302,Sports,WH-DEL,24,37
SKU00303,Product 303,Home,WH-PUN,200,30
SKU00304,Product 304,Home,WH-MUM,158,25
SKU00305,Product 305,Electronics,WH-DEL,19,40
SKU00306,Product 306,Sports,WH-MUM,453,35
SKU00307,Product 307,Books,WH-HYD,66,29
SKU00308,Product 308,Toys,WH-BLR,441,10
SKU00309,Product 309,Books,WH-MUM,466,21
SKU00310,Product 310,Books,WH-BLR,420,31
SKU00311,Product 311,Books,WH-PUN,340,46
SKU00312,Product 312,Beauty,WH-BLR,259,13
SKU00313,Product 313,Toys,WH-BLR,255,20
SKU00314,Product 314,Beauty,WH-HYD,55,33
SKU00315,Product 315,Toys,WH-HYD,420,46
SKU00316,Product 316,Electronics,WH-DEL,453,38
SKU00317,Product 317,Books,WH-PUN,30,35
SKU00318,Product 318,Electronics,WH-DEL,384,41
SKU00319,Product 319,Apparel,WH-MUM,47,10
SKU00320,Product 320,Apparel,WH-MUM,327,12
SKU00321,Product 321,Electronics,WH-HYD,486,27
SKU00322,Product 322,Apparel,WH-HYD,90,36
SKU00323,Product 323,Toys,WH-MUM,464,25
SKU00324,Product 324,Toys,WH-PUN,158,29
SKU00325,Product 325,Books,WH-HYD,390,31
SKU00326,Product 326,Beauty,WH-MUM,71,13
SKU00327,Product 327,Home,WH-BLR,433,28
SKU00328,Product 328,Beauty,WH-MUM,255,15
SKU00329,Product 329,Beauty,WH-DEL,41,20
SKU00330,Product 330,Home,WH-PUN,260,32
SKU00331,Product 331,Books,WH-PUN,98,44
SKU00332,Product 332,Beauty,WH-MUM,369,32
SKU00333,Product 333,Books,WH-PUN,306,41
SKU00334,Product 334,Home,WH-PUN,472,21
SKU00335,Product 335,Home,WH-DEL,30,32
SKU00336,Product 336,Home,WH-BLR,451,43
SKU00337,Product 337,Toys,WH-BLR,377,24
SKU00338,Product 338,Toys,WH-DEL,25,35
SKU00339,Product 339,Home,WH-BLR,472,11
SKU00340,Product 340,Books,WH-BLR,466,50
SKU00341,Product 341,Apparel,WH-PUN,494,41
SKU00342,Product 342,Books,WH-MUM,234,28
SKU00343,Product 343,Toys,WH-MUM,329,24
SKU00344,Product 344,Toys,WH-BLR,116,47
SKU00345,Product 345,Home,WH-MUM,359,39
SKU00346,Product 346,Beauty,WH-HYD,268,28
SKU00347,Product 347,Books,WH-DEL,449,28
SKU00348,Product 348,Beauty,WH-HYD,438,18
SKU00349,Product 349,Books,WH-HYD,134,27
SKU00350,Product 350,Sports,WH-HYD,467,19
SKU00351,Product 351,Toys,WH-PUN,402,23
SKU00352,Product 352,Toys,WH-MUM,338,16
SKU00353,Product 353,Toys,WH-DEL,288,36
SKU00354,Product 354,Books,WH-DEL,230,11
SKU00355,Product 355,Sports,WH-PUN,16,38
SKU00356,Product 356,Home,WH-MUM,286,21
SKU00357,Product 357,Sports,WH-BLR,314,47
SKU00358,Product 358,Apparel,WH-DEL,291,34
SKU00359,Product 359,Home,WH-BLR,325,17
SKU00360,Product 360,Sports,WH-BLR,65,37
SKU00361,Product 361,Sports,WH-MUM,182,48
SKU00362,Product 362,Toys,WH-DEL,240,21
SKU00363,Product 363,Sports,WH-PUN,145,14
SKU00364,Product 364,Home,WH-MUM,0,40
SKU00365,Product 365,Sports,WH-PUN,288,15
SKU00366,Product 366,Toys,WH-PUN,185,26
SKU00367,Product 367,Home,WH-MUM,117,34
SKU00368,Product 368,Electronics,WH-BLR,179,24
SKU00369,Product 369,Apparel,WH-MUM,146,27
SKU00370,Product 370,Books,WH-HYD,28,11
SKU00371,Product 371,Toys,WH-DEL,263,36
SKU00372,Product 372,Books,WH-BLR,436,14
SKU00373,Product 373,Books,WH-BLR,481,47
SKU00374,Product 374,Sports,WH-MUM,168,25
SKU00375,Product 375,Beauty,WH-PUN,165,27
SKU00376,Product 376,Home,WH-PUN,438,11
SKU00377,Product 377,Beauty,WH-BLR,380,17
SKU00378,Product 378,Sports,WH-BLR,79,14
SKU00379,Product 379,Electronics,WH-DEL,326,21
SKU00380,Product 380,Home,WH-BLR,201,16
SKU00381,Product 381,Books,WH-PUN,497,15
SKU00382,Product 382,Home,WH-MUM,,26
SKU00383,Product 383,Beauty,WH-PUN,393,42
SKU00384,Product 384,Apparel,WH-HYD,298,50
SKU00385,Product 385,Beauty,WH-DEL,497,41
SKU00386,Product 386,Home,WH-DEL,29,38
SKU00387,Product 387,Sports,WH-MUM,12,11
SKU00388,Product 388,Beauty,WH-BLR,326,34
SKU00389,Product 389,Apparel,WH-BLR,342,38
SKU00390,Product 390,Apparel,WH-MUM,207,22
SKU00391,Product 391,Beauty,WH-MUM,66,38
SKU00392,Product 392,Electronics,WH-HYD,78,48
SKU00393,Product 393,Electronics,WH-MUM,268,41
SKU00394,Product 394,Beauty,WH-PUN,20,49
SKU00395,Product 395,Books,WH-BLR,405,38
SKU00396,Product 396,Sports,WH-HYD,309,41
SKU00397,Product 397,Home,WH-BLR,339,22
SKU00398,Product 398,Sports,WH-PUN,317,37
SKU00399,Product 399,Toys,WH-BLR,427,34
SKU00400,Product 400,Toys,WH-DEL,289,43
SKU00401,Product 401,Home,WH-MUM,153,27
SKU00402,Product 402,Toys,WH-PUN,55,44
SKU00403,Product 403,Apparel,WH-PUN,344,33
SKU00404,Product 404,Books,WH-PUN,231,19
SKU00405,Product 405,Apparel,WH-HYD,269,19
SKU00406,Product 406,Sports,WH-DEL,380,16
SKU00407,Product 407,Toys,WH-MUM,214,16
SKU00408,Product 408,Sports,WH-PUN,161,30
SKU00409,Product 409,Beauty,WH-MUM,84,38
SKU00410,Product 410,Toys,WH-PUN,436,41
SKU00411,Product 411,Electronics,WH-MUM,490,31
SKU00412,Product 412,Books,WH-BLR,,22
SKU00413,Product 413,Apparel,WH-DEL,492,38
SKU00414,Product 414,Toys,WH-BLR,293,14
SKU00415,Product 415,Books,WH-BLR,406,29
SKU00416,Product 416,Beauty,WH-MUM,418,34
SKU00417,Product 417,Electronics,WH-PUN,450,37
SKU00418,Product 418,Electronics,WH-HYD,383,34
SKU00419,Product 419,Books,WH-DEL,184,19
SKU00420,Product 420,Toys,WH-DEL,57,11
SKU00421,Product 421,Electronics,WH-BLR,402,41
SKU00422,Product 422,Beauty,WH-MUM,270,49
SKU00423,Product 423,Sports,WH-MUM,394,43
SKU00424,Product 424,Toys,WH-HYD,343,13
SKU00425,Product 425,Electronics,WH-MUM,393,17
SKU00426,Product 426,Apparel,WH-MUM,325,24
SKU00427,Product 427,Sports,WH-DEL,,36
SKU00428,Product 428,Electronics,WH-PUN,98,10
SKU00429,Product 429,Apparel,WH-HYD,169,34
SKU00430,Product 430,Apparel,WH-BLR,306,45
SKU00431,Product 431,Books,WH-PUN,239,20
SKU00432,Product 432,Toys,WH-HYD,362,28
SKU00433,Product 433,Toys,WH-HYD,345,21
SKU00434,Product 434,Beauty,WH-PUN,91,49
SKU00435,Product 435,Home,WH-BLR,243,15
SKU00436,Product 436,Books,WH-MUM,39,20
SKU00437,Product 437,Home,WH-BLR,342,44
SKU00438,Product 438,Apparel,WH-DEL,251,38
SKU00439,Product 439,Beauty,WH-PUN,166,22
SKU00440,Product 440,Books,WH-DEL,,29
SKU00441,Product 441,Books,WH-MUM,440,26
SKU00442,Product 442,Sports,WH-MUM,334,17
SKU00443,Product 443,Books,WH-PUN,303,34
SKU00444,Product 444,Home,WH-MUM,337,46
SKU00445,Product 445,Toys,WH-HYD,497,21
SKU00446,Product 446,Home,WH-BLR,324,45
SKU00447,Product 447,Electronics,WH-PUN,142,19
SKU00448,Product 448,Beauty,WH-HYD,392,14
SKU00449,Product 449,Home,WH-HYD,432,24
SKU00450,Product 450,Books,WH-HYD,340,43
SKU00451,Product 451,Electronics,WH-HYD,169,13
SKU00452,Product 452,Books,WH-DEL,164,44
SKU00453,Product 453,Home,WH-DEL,79,17
SKU00454,Product 454,Electronics,WH-BLR,404,15
SKU00455,Product 455,Sports,WH-HYD,334,38
SKU00456,Product 456,Electronics,WH-HYD,66,32
SKU00457,Product 457,Electronics,WH-MUM,296,27
SKU00458,Product 458,Books,WH-MUM,424,36
SKU00459,Product 459,Electronics,WH-PUN,219,36
SKU00460,Product 460,Beauty,WH-HYD,412,34
SKU00461,Product 461,Toys,WH-DEL,,15
SKU00462,Product 462,Home,WH-DEL,368,27
SKU00463,Product 463,Home,WH-DEL,120,15
SKU00464,Product 464,Apparel,WH-HYD,0,33
SKU00465,Product 465,Beauty,WH-HYD,175,29
SKU00466,Product 466,Home,WH-HYD,236,35
SKU00467,Product 467,Books,WH-HYD,185,22
SKU00468,Product 468,Apparel,WH-PUN,371,40
SKU00469,Product 469,Home,WH-DEL,245,13
SKU00470,Product 470,Electronics,WH-HYD,172,43
SKU00471,Product 471,Sports,WH-DEL,166,19
SKU00472,Product 472,Apparel,WH-DEL,123,49
SKU00473,Product 473,Home,WH-HYD,401,21
SKU00474,Product 474,Home,WH-HYD,60,50
SKU00475,Product 475,Toys,WH-HYD,11,16
SKU00476,Product 476,Beauty,WH-MUM,428,24
SKU00477,Product 477,Toys,WH-HYD,435,24
SKU00478,Product 478,Toys,WH-DEL,428,30
SKU00479,Product 479,Toys,WH-MUM,104,20
SKU00480,Product 480,Sports,WH-DEL,278,41
SKU00481,Product 481,Sports,WH-DEL,363,50
SKU00482,Product 482,Toys,WH-HYD,456,19
SKU00483,Product 483,Apparel,WH-DEL,296,46
SKU00484,Product 484,Books,WH-HYD,411,17
SKU00485,Product 485,Toys,WH-DEL,180,40
SKU00486,Product 486,Toys,WH-DEL,57,37
SKU00487,Product 487,Electronics,WH-HYD,203,48
SKU00488,Product 488,Electronics,WH-BLR,,37
SKU00489,Product 489,Toys,WH-HYD,433,13
SKU00490,Product 490,Sports,WH-DEL,169,27
SKU00491,Product 491,Electronics,WH-HYD,60,46
SKU00492,Product 492,Toys,WH-HYD,327,38
SKU00493,Product 493,Beauty,WH-BLR,311,16
SKU00494,Product 494,Sports,WH-MUM,304,36
SKU00495,Product 495,Electronics,WH-PUN,226,49
SKU00496,Product 496,Books,WH-DEL,198,45
SKU00497,Product 497,Home,WH-PUN,236,36
SKU00498,Product 498,Electronics,WH-BLR,423,19
SKU00499,Product 499,Toys,WH-PUN,309,24
SKU00500,Product 500,Sports,WH-HYD,9,44
SKU00501,Product 501,Home,WH-HYD,264,38
SKU00502,Product 502,Sports,WH-PUN,434,42
SKU00503,Product 503,Sports,WH-BLR,464,26
SKU00504,Product 504,Apparel,WH-HYD,398,32
SKU00505,Product 505,Beauty,WH-PUN,318,35
SKU00506,Product 506,Books,WH-HYD,275,21
SKU00507,Product 507,Home,WH-PUN,228,21
SKU00508,Product 508,Books,WH-BLR,480,10
SKU00509,Product 509,Toys,WH-DEL,446,46
SKU00510,Product 510,Beauty,WH-DEL,365,30
SKU00511,Product 511,Beauty,WH-MUM,131,47
SKU00512,Product 512,Electronics,WH-DEL,181,22
SKU00513,Product 513,Toys,WH-BLR,436,34
SKU00514,Product 514,Toys,WH-BLR,231,15
SKU00515,Product 515,Toys,WH-MUM,33,34
SKU00516,Product 516,Toys,WH-PUN,228,14
SKU00517,Product 517,Home,WH-DEL,,44
SKU00518,Product 518,Sports,WH-BLR,81,28
SKU00519,Product 519,Toys,WH-HYD,385,29
SKU00520,Product 520,Sports,WH-DEL,480,25
SKU00521,Product 521,Electronics,WH-HYD,230,30
SKU00522,Product 522,Sports,WH-MUM,28,50
SKU00523,Product 523,Books,WH-BLR,85,16
SKU00524,Product 524,Sports,WH-HYD,191,50
SKU00525,Product 525,Beauty,WH-PUN,120,15
SKU00526,Product 526,Apparel,WH-DEL,407,49
SKU00527,Product 527,Home,WH-DEL,32,42
SKU00528,Product 528,Electronics,WH-BLR,372,34
SKU00529,Product 529,Sports,WH-DEL,413,11
SKU00530,Product 530,Beauty,WH-PUN,141,13
SKU00531,Product 531,Beauty,WH-MUM,155,28
SKU00532,Product 532,Home,WH-DEL,306,32
SKU00533,Product 533,Toys,WH-PUN,349,14
SKU00534,Product 534,Electronics,WH-PUN,168,24
