order_item_id,order_id,sku,quantity,unit_price
OI00000053,ORD0031194,SKU02479,3,698.78
OI00000054,ORD0045734,SKU03390,10,954.8
OI00000055,ORD0041561,SKU04832,2,453.71
OI00000056,ORD0008690,SKU04050,8,113.95
OI00000057,ORD0042984,SKU03162,6,521.85
OI00000058,ORD0006106,SKU00384,5,810.77
OI00000059,ORD0045229,SKU02255,1,88.03
OI00000060,ORD0022780,SKU00329,9,2562.03
OI00000061,ORD0036225,SKU00439,8,1154.55
OI00000062,ORD0011705,SKU01003,4,768.49
OI00000063,ORD0013806,SKU03389,9,1976.23
OI00000064,ORD0011384,SKU03825,9,2249.76
OI00000065,ORD0041313,SKU01996,8,329.18
OI00000066,ORD0000262,SKU00526,7,2099.46
OI00000067,ORD0035236,SKU04973,4,1825.17
OI00000068,ORD0041638,SKU04346,1,117.66
OI00000069,ORD0038203,SKU03943,9,795.49
OI00000070,ORD0011054,SKU03132,6,230.5
OI00000071,ORD0029959,SKU04922,5,1802.39
OI00000072,ORD0033034,SKU03406,10,2773.15
OI00000073,ORD0011233,SKU04933,5,1178.06
OI00000074,ORD0047254,SKU03355,7,2515.97
OI00000075,ORD0036865,SKU04084,1,2725.83
OI00000076,ORD0011322,SKU02564,9,1535.29
OI00000077,ORD0041981,SKU01506,3,364.41
OI00000078,ORD0042015,SKU04078,8,2159.08
OI00000079,ORD0032921,SKU03986,6,590.06
OI00000080,ORD0016902,SKU03163,,582.84
OI00000081,ORD0022174,SKU00932,5,728.11
OI00000082,ORD0027369,SKU04764,5,2231.35
OI00000083,ORD0030906,SKU00710,6,1968.28
OI00000084,ORD0023073,SKU00547,4,1876.93
OI00000085,ORD0042715,SKU03135,7,2320.32
OI00000086,ORD0024992,SKU03124,9,2430.93
OI00000087,ORD0031446,SKU00846,4,515.67
OI00000088,ORD0005198,SKU00903,5,1818.95
OI00000089,ORD0005933,SKU00045,8,1014.08
OI00000090,ORD0041175,SKU02316,9,1546.81
OI00000091,ORD0002281,SKU01408,9,321.0
OI00000092,ORD0010968,SKU02623,3,2344.35
OI00000093,ORD0003894,SKU04595,5,58.17
OI00000094,ORD0013871,SKU00865,7,165.14
OI00000095,ORD0011387,SKU00450,4,492.99
OI00000096,ORD0008657,SKU01951,5,1696.41
OI00000097,ORD0024782,SKU01621,7,1751.87
OI00000098,ORD0022003,SKU02436,1,2099.52
OI00000099,ORD0017300,SKU04845,6,1185.72
OI00000100,ORD0005217,SKU01293,3,516.4
OI00000101,ORD0000186,SKU03927,,1571.33
OI00000102,ORD0021839,SKU01801,2,918.26
OI00000103,ORD0007802,SKU04760,9,2225.75
OI00000104,ORD0025088,SKU02383,7,2692.39
OI00000105,ORD0019106,SKU04809,8,157.4
OI00000106,ORD0039679,SKU01311,9,1290.84
OI00000107,ORD0032705,SKU04756,2,2988.79
OI00000108,ORD0021181,SKU02508,10,-1991.39
OI00000109,ORD0010546,SKU02812,10,299.33
OI00000110,ORD0035091,SKU03924,6,2073.45
OI00000111,ORD0034079,SKU04137,6,475.74
OI00000112,ORD0005775,SKU04229,3,2258.25
OI00000113,ORD0018423,SKU03586,5,1939.97
OI00000114,ORD0015048,SKU03384,8,1859.61
OI00000115,ORD0026897,SKU02086,9,2991.25
OI00000116,ORD0047116,SKU03547,6,292.98
OI00000117,ORD0018735,SKU01211,2,2684.9
OI00000118,ORD0033483,SKU04010,2,279.44
OI00000119,ORD0010327,SKU01949,10,1144.69
OI00000120,ORD0047514,SKU03194,3,957.35
OI00000121,ORD0003511,SKU01686,9,2551.83
OI00000122,ORD0017471,SKU02276,9,2924.95
OI00000123,ORD0025250,SKU00836,6,623.86
OI00000124,ORD0036690,SKU03814,8,1025.07
OI00000125,ORD0018425,SKU01606,4,1598.93
OI00000126,ORD0002677,SKU01605,10,2367.13
OI00000127,ORD0042799,SKU04685,6,2961.19
OI00000128,ORD0015156,SKU02602,3,1903.9
OI00000129,ORD0001553,SKU00027,10,1467.02
OI00000130,ORD0026341,SKU04906,3,503.71
OI00000131,ORD0028031,SKU02690,2,481.92
OI00000132,ORD0000638,SKU00638,3,2026.25
OI00000133,ORD0041875,SKU00031,3,2533.68
OI00000134,ORD0027714,SKU03707,2,891.19
OI00000135,ORD0005949,SKU02771,10,2265.47
OI00000136,ORD0005798,SKU00588,5,967.08
OI00000137,ORD0038194,SKU03816,9,1809.86
OI00000138,ORD0049969,SKU04433,5,2776.77
OI00000139,ORD0012628,SKU01089,4,415.68
OI00000140,ORD0021734,SKU03836,3,550.54
OI00000141,ORD0015743,SKU00693,3,-1195.46
OI00000142,ORD0049979,SKU04094,10,150.4
OI00000143,ORD0043641,SKU03789,4,2302.95
OI00000144,ORD0010396,SKU04767,1,1066.2
OI00000145,ORD0005052,SKU00589,4,274.52
OI00000146,ORD0018540,SKU01645,9,520.74
OI00000147,ORD0011351,SKU04172,1,2081.66
OI00000148,ORD0003552,SKU01616,7,234.02
OI00000149,ORD0013362,SKU00250,9,723.45
OI00000150,ORD0037203,SKU03852,3,1297.04
OI00000151,ORD0038336,SKU01261,2,2509.72
OI00000152,ORD0022884,SKU04002,,1648.17
OI00000153,ORD0020773,SKU04980,5,2045.58
OI00000154,ORD0003325,SKU01236,9,334.35
OI00000155,ORD0009175,SKU04413,8,2267.36
OI00000156,ORD0011915,SKU02513,7,1311.29
OI00000157,ORD0030888,SKU00922,10,900.57
OI00000158,ORD0022427,SKU00845,6,1913.69
OI00000159,ORD0015796,SKU02646,2,583.02
OI00000160,ORD0007117,SKU04456,8,1990.63
OI00000161,ORD0030974,SKU02265,10,620.56
OI00000162,ORD0037478,SKU01963,7,2728.39
OI00000163,ORD0023627,SKU04864,1,874.67
OI00000164,ORD0036758,SKU00088,8,971.57
OI00000165,ORD0020169,SKU02489,5,1661.96
OI00000166,ORD0011283,SKU04358,9,1171.76
OI00000167,ORD0034882,SKU00337,4,914.92
OI00000168,ORD0049304,SKU01958,10,755.06
OI00000169,ORD0022398,SKU00348,10,333.2
OI00000170,ORD0024347,SKU02310,7,884.45
OI00000171,ORD0041967,SKU02801,6,1042.85
OI00000172,ORD0011379,SKU03510,10,1462.91
OI00000173,ORD0035288,SKU01539,1,1946.2
OI00000174,ORD0007267,SKU03682,10,2014.07
OI00000175,ORD0024842,SKU00292,6,2930.29
OI00000176,ORD0048461,SKU00033,1,1024.62
OI00000177,ORD0015891,SKU01242,10,1588.27
OI00000178,ORD0023993,SKU04201,3,103.57
OI00000179,ORD0019209,SKU01692,4,1445.85
OI00000180,ORD0020007,SKU02155,3,1524.73
OI00000181,ORD0028553,SKU03121,9,2750.75
OI00000182,ORD0004412,SKU03428,10,2457.77
OI00000183,ORD0026606,SKU02146,2,2309.3
OI00000184,ORD0001604,SKU00040,9,887.45
OI00000185,ORD0006685,SKU00459,9,416.33
OI00000186,ORD0028676,SKU02436,5,2659.14
OI00000187,ORD0022982,SKU02069,2,1398.75
OI00000188,ORD0011203,SKU04125,2,932.12
OI00000189,ORD0020975,SKU03332,4,1479.26
OI00000190,ORD0018633,SKU00319,3,597.69
OI00000191,ORD0031473,SKU04409,5,949.6
OI00000192,ORD0002728,SKU03225,6,665.43
OI00000193,ORD0032364,SKU02666,10,2258.33
OI00000194,ORD0017761,SKU01701,7,1113.89
OI00000195,ORD0018854,SKU03305,10,927.91
OI00000196,ORD0048183,SKU00214,8,2741.72
OI00000197,ORD0028636,SKU04802,6,2826.77
OI00000198,ORD0029612,SKU01924,5,1108.72
OI00000199,ORD0014791,SKU02288,9,1705.25
OI00000200,ORD0049022,SKU02156,2,-2482.59
OI00000201,ORD0002613,SKU03647,5,2221.31
OI00000202,ORD0009060,SKU03816,6,416.78
OI00000203,ORD0002336,SKU00219,,185.77
OI00000204,ORD0023691,SKU00524,3,2895.63
OI00000205,ORD0000736,SKU04390,2,1544.4
OI00000206,ORD0028721,SKU00916,10,2306.88
OI00000207,ORD0038889,SKU00920,4,2423.72
OI00000208,ORD0022926,SKU01294,3,1934.1
OI00000209,ORD0013324,SKU02655,8,1704.86
OI00000210,ORD0024378,SKU04285,6,1991.43
OI00000211,ORD0010593,SKU04934,4,714.97
OI00000212,ORD0043470,SKU03406,5,2491.56
OI00000213,ORD0012647,SKU03689,2,2236.17
OI00000214,ORD0015125,SKU03259,5,1912.77
OI00000215,ORD0048528,SKU00244,6,1327.44
OI00000216,ORD0026217,SKU00192,7,2391.8
OI00000217,ORD0034828,SKU00045,10,910.86
OI00000218,ORD0022727,SKU00912,1,1762.24
OI00000219,ORD0008880,SKU01936,6,103.62
OI00000220,ORD0029943,SKU03766,9,789.62
OI00000221,ORD0037369,SKU00498,9,1317.19
OI00000222,ORD0018610,SKU01505,10,600.05
OI00000223,ORD0045211,SKU01436,10,338.06
OI00000224,ORD0008581,SKU00255,1,246.94
OI00000225,ORD0015226,SKU03421,3,2612.34
OI00000226,ORD0006185,SKU03458,4,2011.85
OI00000227,ORD0034328,SKU02056,7,981.29
OI00000228,ORD0036716,SKU00512,5,2957.61
OI00000229,ORD0029730,SKU02832,5,2109.14
OI00000230,ORD0037634,SKU04763,1,2776.75
OI00000231,ORD0019430,SKU00887,7,2481.69
OI00000232,ORD0040003,SKU02838,9,1296.53
OI00000233,ORD0010671,SKU03666,6,2294.46
OI00000234,ORD0002944,SKU02898,3,1319.31
OI00000235,ORD0026353,SKU04160,1,2504.5
OI00000236,ORD0030701,SKU02467,6,1309.54
OI00000237,ORD0013062,SKU04370,4,449.74
OI00000238,ORD0007237,SKU03001,7,2232.49
OI00000239,ORD0036428,SKU00111,7,2690.56
OI00000240,ORD0036914,SKU02913,2,2296.99
OI00000241,ORD0033693,SKU02890,7,1442.86
OI00000242,ORD0025801,SKU00357,9,1567.68
OI00000243,ORD0038837,SKU00818,8,2857.91
OI00000244,ORD0004223,SKU01028,1,2630.17
OI00000245,ORD0031392,SKU04593,1,2775.85
OI00000246,ORD0008902,SKU01723,2,1874.53
OI00000247,ORD0026790,SKU04693,6,1348.88
OI00000248,ORD0025558,SKU02434,1,162.47
OI00000249,ORD0019898,SKU01760,9,222.68
OI00000250,ORD0049530,SKU01735,8,716.12
OI00000251,ORD0043441,SKU04886,6,1932.33
OI00000252,ORD0033890,SKU02332,9,-833.94
OI00000253,ORD0003273,SKU02460,1,1562.22
OI00000254,ORD0023342,SKU00155,5,1329.46
OI00000255,ORD0034614,SKU02088,10,1769.02
OI00000256,ORD0001693,SKU04289,6,2259.74
OI00000257,ORD0030836,SKU04418,10,825.34
OI00000258,ORD0047007,SKU00554,9,2576.28
OI00000259,ORD0009895,SKU02083,8,252.98
OI00000260,ORD0026956,SKU01155,7,1154.53
OI00000261,ORD0048655,SKU01271,4,736.06
OI00000262,ORD0005039,SKU01304,7,2094.17
OI00000263,ORD0020421,SKU00997,4,980.69
OI00000264,ORD0041441,SKU01432,8,2251.47
OI00000265,ORD0005094,SKU02643,7,2722.09
OI00000266,ORD0043126,SKU03634,4,2538.09
OI00000267,ORD0032082,SKU02549,5,1510.55
OI00000268,ORD0028360,SKU01611,1,1857.66
OI00000269,ORD0012131,SKU00292,2,420.93
OI00000270,ORD0015696,SKU00375,2,1490.11
OI00000271,ORD0035378,SKU02506,8,2072.17
OI00000272,ORD0033704,SKU00895,8,1745.03
OI00000273,ORD0018147,SKU04061,3,2452.02
OI00000274,ORD0035360,SKU02181,10,1524.64
OI00000275,ORD0045049,SKU02867,10,586.57
OI00000276,ORD0043635,SKU01193,4,2934.89
OI00000277,ORD0037132,SKU02381,3,2431.55
OI00000278,ORD0000968,SKU01542,8,59.25
OI00000279,ORD0047676,SKU00802,,462.05
OI00000280,ORD0027187,SKU03080,6,385.12
OI00000281,ORD0031840,SKU02801,3,2121.01
OI00000282,ORD0010209,SKU03289,2,340.15
OI00000283,ORD0010617,SKU00750,6,2661.93
OI00000284,ORD0011749,SKU04626,3,1290.23
OI00000285,ORD0001750,SKU01795,4,1571.71
OI00000286,ORD0005435,SKU00901,3,552.71
OI00000287,ORD0011744,SKU02422,6,2292.34
OI00000288,ORD0007497,SKU03518,10,2752.79
OI00000289,ORD0016313,SKU00348,5,297.75
OI00000290,ORD0038899,SKU02506,10,2861.57
OI00000291,ORD0030352,SKU03936,1,1761.61
OI00000292,ORD0040250,SKU04330,9,474.45
OI00000293,ORD0012598,SKU03496,9,2831.91
OI00000294,ORD0047527,SKU04644,9,201.95
OI00000295,ORD0035690,SKU01540,1,2269.89
OI00000296,ORD0011609,SKU04035,3,407.92
OI00000297,ORD0016358,SKU04772,4,2355.0
OI00000298,ORD0019738,SKU02258,4,899.85
OI00000299,ORD0008465,SKU04031,8,1240.48
OI00000300,ORD0010522,SKU02746,9,2516.68
OI00000301,ORD0025774,SKU03073,4,2958.5
OI00000302,ORD0027228,SKU03139,3,2928.74
OI00000303,ORD0016254,SKU01624,10,700.09
OI00000304,ORD0046884,SKU01771,4,618.28
OI00000305,ORD0020463,SKU01118,5,2173.9
OI00000306,ORD0009504,SKU01700,6,381.5
OI00000307,ORD0031895,SKU04092,6,2407.56
OI00000308,ORD0004967,SKU04690,4,1912.65
OI00000309,ORD0037949,SKU04814,6,2689.43
OI00000310,ORD0010666,SKU00998,8,707.74
OI00000311,ORD0018702,SKU01362,9,1821.11
OI00000312,ORD0012345,SKU01124,4,2128.43
OI00000313,ORD0017211,SKU02410,5,1282.56
OI00000314,ORD0040650,SKU03785,9,2489.07
OI00000315,ORD0033316,SKU02428,8,1721.91
OI00000316,ORD0040148,SKU00967,2,128.33
OI00000317,ORD0024519,SKU04263,7,652.71
OI00000318,ORD0044741,SKU03813,9,2489.85
OI00000319,ORD0002493,SKU04139,3,-2224.94
OI00000320,ORD0022171,SKU03622,6,1718.17
OI00000321,ORD0003718,SKU01344,1,1395.54
OI00000322,ORD0035851,SKU02082,7,167.15
OI00000323,ORD0032556,SKU03204,5,1584.1
OI00000324,ORD0004368,SKU02223,7,2677.35
OI00000325,ORD0026945,SKU01086,2,130.62
OI00000326,ORD0023400,SKU03471,1,1880.3
OI00000327,ORD0023137,SKU01504,3,944.16
OI00000328,ORD0007853,SKU01702,6,1177.73
OI00000329,ORD0022761,SKU04943,6,1705.32
OI00000330,ORD0019633,SKU01615,1,798.55
OI00000331,ORD0032201,SKU00606,1,1159.6
OI00000332,ORD0015974,SKU02912,1,995.09
OI00000333,ORD0018250,SKU04346,10,999.27
OI00000334,ORD0023819,SKU02943,4,296.7
OI00000335,ORD0000991,SKU02796,1,2485.71
OI00000336,ORD0045965,SKU04742,9,1090.94
OI00000337,ORD0035760,SKU00414,6,589.56
OI00000338,ORD0005776,SKU03198,7,194.72
OI00000339,ORD0030269,SKU04196,4,437.02
OI00000340,ORD0021169,SKU03988,10,654.29
OI00000341,ORD0008633,SKU00408,7,1198.25
OI00000342,ORD0016609,SKU02309,9,2240.6
OI00000343,ORD0027288,SKU03337,,2026.08
OI00000344,ORD0008746,SKU01769,5,2701.39
OI00000345,ORD0006831,SKU01044,6,586.98
OI00000346,ORD0013988,SKU02023,10,2630.29
OI00000347,ORD0038116,SKU04855,8,1698.25
OI00000348,ORD0024281,SKU04660,7,103.59
OI00000349,ORD0033883,SKU04287,3,1075.09
OI00000350,ORD0002879,SKU02983,7,2613.18
OI00000351,ORD0024987,SKU04133,10,2547.12
OI00000352,ORD0011392,SKU00190,6,1260.81
OI00000353,ORD0036016,SKU02589,4,653.48
OI00000354,ORD0038340,SKU04807,4,980.31
OI00000355,ORD0004144,SKU03091,3,2420.18
OI00000356,ORD0016551,SKU03429,10,608.76
OI00000357,ORD0018720,SKU03930,3,1042.8
OI00000358,ORD0024862,SKU00040,8,689.53
OI00000359,ORD0031438,SKU03612,7,2729.97
OI00000360,ORD0001335,SKU03903,10,1876.95
OI00000361,ORD0024358,SKU03859,1,1007.06
OI00000362,ORD0023640,SKU04424,8,2073.23
OI00000363,ORD0030515,SKU04430,2,2125.7
OI00000364,ORD0007527,SKU04488,2,1744.28
OI00000365,ORD0001309,SKU02632,6,2021.31
OI00000366,ORD0045489,SKU01222,5,2041.27
OI00000367,ORD0015728,SKU01815,2,2927.81
OI00000368,ORD0029720,SKU00785,1,2606.11
OI00000369,ORD0030550,SKU04156,6,624.48
OI00000370,ORD0029685,SKU02984,4,2277.35
OI00000371,ORD0018017,SKU02419,7,734.45
OI00000372,ORD0046060,SKU00063,6,2532.2
OI00000373,ORD0035891,SKU04154,5,1943.52
OI00000374,ORD0005752,SKU00222,6,2170.43
OI00000375,ORD0032391,SKU00472,6,711.84
OI00000376,ORD0024022,SKU04639,6,465.05
OI00000377,ORD0008241,SKU01870,2,2768.84
OI00000378,ORD0007543,SKU00814,6,2595.29
OI00000379,ORD0026592,SKU04320,10,1922.36
OI00000380,ORD0039800,SKU02274,1,2080.09
OI00000381,ORD0044906,SKU03375,4,2542.95
OI00000382,ORD0003453,SKU00925,5,890.96
OI00000383,ORD0040708,SKU02474,6,2157.33
OI00000384,ORD0012317,SKU00362,1,223.12
OI00000385,ORD0012743,SKU01957,9,2541.05
OI00000386,ORD0014225,SKU03100,6,1086.99
OI00000387,ORD0027451,SKU03868,3,1702.63
OI00000388,ORD0007380,SKU02181,2,765.65
OI00000389,ORD0047275,SKU04912,5,1815.2
OI00000390,ORD0012110,SKU00355,5,465.13
OI00000391,ORD0044215,SKU04514,2,1216.95
OI00000392,ORD0047234,SKU00245,6,1751.87
OI00000393,ORD0030022,SKU03647,9,2334.02
OI00000394,ORD0035603,SKU04715,7,1691.46
OI00000395,ORD0014911,SKU03324,8,2440.34
OI00000396,ORD0039132,SKU04850,4,1340.39
OI00000397,ORD0021413,SKU03763,2,2176.23
OI00000398,ORD0037540,SKU00661,10,2173.82
OI00000399,ORD0000628,SKU00184,5,2191.59
OI00000400,ORD0045045,SKU03366,3,910.29
OI00000401,ORD0036044,SKU01759,2,1144.41
OI00000402,ORD0024324,SKU02385,3,232.66
OI00000403,ORD0046811,SKU04552,9,1712.47
OI00000404,ORD0044758,SKU04758,4,2697.25
OI00000405,ORD0017260,SKU01954,7,1357.02
OI00000406,ORD0008844,SKU02201,4,2115.34
OI00000407,ORD0015554,SKU03308,9,822.81
OI00000408,ORD0009035,SKU04394,5,2223.81
OI00000409,ORD0030078,SKU01711,1,537.33
OI00000410,ORD0021145,SKU02295,8,894.15
OI00000411,ORD0047787,SKU04047,1,2877.56
OI00000412,ORD0029351,SKU04165,3,-839.01
OI00000413,ORD0019230,SKU03197,1,1304.91
OI00000414,ORD0026344,SKU03400,4,1809.19
OI00000415,ORD0044467,SKU02880,4,1897.9
OI00000416,ORD0032267,SKU02323,5,1620.24
OI00000417,ORD0013983,SKU04570,6,956.03
OI00000418,ORD0003770,SKU02565,4,792.25
OI00000419,ORD0035528,SKU01390,8,2588.31
OI00000420,ORD0025494,SKU01277,3,546.99
OI00000421,ORD0000628,SKU02179,4,1579.27
OI00000422,ORD0035337,SKU02425,3,2606.59
OI00000423,ORD0022200,SKU02365,1,-1045.71
OI00000424,ORD0001768,SKU04382,6,2192.72
OI00000425,ORD0029941,SKU00796,1,2254.35
OI00000426,ORD0038504,SKU01026,7,2689.65
OI00000427,ORD0038102,SKU00391,5,1345.45
OI00000428,ORD0014444,SKU00928,1,2542.66
OI00000429,ORD0019473,SKU04790,8,383.11
OI00000430,ORD0004723,SKU04853,4,2200.87
OI00000431,ORD0034415,SKU02636,8,1127.22
OI00000432,ORD0021244,SKU04505,3,2338.18
OI00000433,ORD0003234,SKU02677,8,1173.95
OI00000434,ORD0001703,SKU04932,4,688.37
OI00000435,ORD0007369,SKU01490,10,211.63
OI00000436,ORD0040954,SKU03714,7,2149.16
OI00000437,ORD0034032,SKU02654,5,1671.71
OI00000438,ORD0025208,SKU04419,2,2388.26
OI00000439,ORD0005986,SKU02383,5,436.06
OI00000440,ORD0043967,SKU02756,5,639.16
OI00000441,ORD0031225,SKU03828,8,2865.84
OI00000442,ORD0018356,SKU01497,2,2153.6
OI00000443,ORD0038897,SKU03624,1,1550.22
OI00000444,ORD0002635,SKU04327,6,457.64
OI00000445,ORD0040067,SKU00523,2,1187.69
OI00000446,ORD0000316,SKU03275,1,1071.98
OI00000447,ORD0021698,SKU03982,1,695.57
OI00000448,ORD0021939,SKU04924,10,624.59
OI00000449,ORD0039051,SKU02795,6,203.99
OI00000450,ORD0030037,SKU03843,10,1983.94
OI00000451,ORD0033573,SKU03715,2,2468.87
OI00000452,ORD0015082,SKU00228,5,1423.64
OI00000453,ORD0001963,SKU02419,7,513.46
OI00000454,ORD0042240,SKU01350,1,2568.51
OI00000455,ORD0006148,SKU02052,9,959.67
OI00000456,ORD0046401,SKU00785,6,1898.39
OI00000457,ORD0026958,SKU02594,9,1530.7
OI00000458,ORD0012982,SKU03529,7,600.46
OI00000459,ORD0002021,SKU03207,2,1078.82
OI00000460,ORD0032328,SKU02845,7,1067.8
OI00000461,ORD0034625,SKU00342,8,2557.53
OI00000462,ORD0036510,SKU02072,4,1229.46
OI00000463,ORD0030971,SKU00382,7,786.29
OI00000464,ORD0015941,SKU00782,5,1571.64
OI00000465,ORD0018992,SKU04086,5,954.0
OI00000466,ORD0037393,SKU03030,8,1834.7
OI00000467,ORD0031645,SKU01237,10,931.03
OI00000468,ORD0014747,SKU01277,4,549.59
OI00000469,ORD0000567,SKU04144,7,2662.31
OI00000470,ORD0030657,SKU04230,7,1815.01
OI00000471,ORD0000693,SKU03753,8,289.5
OI00000472,ORD0001796,SKU00189,9,1182.65
OI00000473,ORD0032237,SKU03677,6,1107.24
OI00000474,ORD0035689,SKU03976,7,1757.05
OI00000475,ORD0034188,SKU01634,7,2798.76
OI00000476,ORD0048493,SKU03375,10,-634.36
OI00000477,ORD0043998,SKU00926,5,1211.19
OI00000478,ORD0042353,SKU00845,4,320.7
OI00000479,ORD0016194,SKU01682,3,1727.6
OI00000480,ORD0026792,SKU00298,2,2132.58
OI00000481,ORD0018945,SKU02647,3,688.25
OI00000482,ORD0009241,SKU01090,5,1606.01
OI00000483,ORD0026821,SKU02278,5,881.78
OI00000484,ORD0005308,SKU02768,2,1774.6
OI00000485,ORD0033257,SKU00064,5,659.67
OI00000486,ORD0007421,SKU00317,5,298.44
OI00000487,ORD0028508,SKU04233,10,125.98
OI00000488,ORD0026491,SKU02956,9,2188.39
OI00000489,ORD0037937,SKU00236,1,571.23
OI00000490,ORD0035027,SKU02854,2,2343.96
OI00000491,ORD0044868,SKU00892,7,439.78
OI00000492,ORD0044470,SKU02760,4,341.66
OI00000493,ORD0031337,SKU03339,4,1538.15
OI00000494,ORD0001384,SKU00145,8,215.41
OI00000495,ORD0043617,SKU02713,2,452.36
OI00000496,ORD0003127,SKU04720,7,1611.95
OI00000497,ORD0010421,SKU00373,5,102.57
OI00000498,ORD0009255,SKU01064,2,2224.04
OI00000499,ORD0029218,SKU01398,2,365.54
OI00000500,ORD0005120,SKU02619,7,344.43
OI00000501,ORD0035578,SKU01941,8,93.79
OI00000502,ORD0020480,SKU04039,10,2490.8
OI00000503,ORD0021262,SKU02416,9,2672.86
OI00000504,ORD0005879,SKU03499,,723.55
OI00000505,ORD0018048,SKU00073,4,2646.19
OI00000506,ORD0022889,SKU02717,3,2845.01
OI00000507,ORD0016791,SKU04725,1,2667.69
OI00000508,ORD0013538,SKU00167,6,1891.93
OI00000509,ORD0005345,SKU02150,8,126.58
OI00000510,ORD0018056,SKU03525,5,-2413.28
OI00000511,ORD0009410,SKU00304,1,683.78
OI00000512,ORD0040230,SKU00479,3,2188.35
OI00000513,ORD0032175,SKU02475,8,924.43
OI00000514,ORD0010719,SKU02922,4,2868.63
OI00000515,ORD0004891,SKU03743,2,444.67
OI00000516,ORD0026478,SKU03571,2,375.91
OI00000517,ORD0039545,SKU03557,6,1543.6
OI00000518,ORD0048300,SKU01146,8,2562.74
OI00000519,ORD0035008,SKU03809,,1441.42
OI00000520,ORD0049440,SKU01279,8,2693.38
OI00000521,ORD0041404,SKU00545,6,942.93
OI00000522,ORD0020721,SKU03379,7,1774.34
OI00000523,ORD0012603,SKU02123,7,2880.03
OI00000524,ORD0004700,SKU00051,7,1043.78
OI00000525,ORD0004560,SKU04325,4,382.3
OI00000526,ORD0043421,SKU00195,1,2745.17
OI00000527,ORD0024109,SKU01827,5,666.16
OI00000528,ORD0041103,SKU00456,6,1082.63
OI00000529,ORD0038766,SKU03128,9,679.32
OI00000530,ORD0024363,SKU00451,9,1272.5
OI00000531,ORD0032533,SKU04938,1,735.22
OI00000532,ORD0045590,SKU01371,7,1885.33
OI00000533,ORD0004553,SKU00037,10,2738.75
OI00000534,ORD0022865,SKU02404,6,1884.71
OI00000535,ORD0026593,SKU02910,4,2337.72
OI00000536,ORD0039055,SKU04655,10,2443.99
OI00000537,ORD0040628,SKU00859,2,2047.57
OI00000538,ORD0036260,SKU03623,8,1730.26
OI00000539,ORD0018624,SKU04354,9,242.41
OI00000540,ORD0013151,SKU04044,8,572.67
OI00000541,ORD0040577,SKU00855,,1943.8
OI00000542,ORD0006460,SKU04753,9,1555.78
OI00000543,ORD0023978,SKU02344,2,2607.22
OI00000544,ORD0000189,SKU02066,5,967.65
