order_id,customer_id,order_date,status,total_amount,region,category,warehouse
ORD0029491,CUST002246,2026-06-01 00:53:51,cancelled,11212.02,South,Home,WH-BLR
ORD0022486,CUST000696,2026-07-28 04:54:19,delivered,5944.22,North,Toys,WH-MUM
ORD0037087,CUST008347,2026-07-10 18:41:16,in_transit,3940.66,North,Toys,WH-HYD
ORD0006815,CUST001537,2026-01-07 10:37:00,shipped,6669.68,West,Apparel,WH-PUN
ORD0040987,CUST008105,2026-05-09 17:16:35,placed,12040.3,East,Sports,WH-DEL
ORD0032408,CUST009021,2026-02-28 11:00:25,delivered,5729.25,East,Beauty,WH-HYD
ORD0025118,CUST009202,2026-01-15 08:57:49,placed,11211.49,Central,Beauty,WH-BLR
ORD0011921,CUST002806,2026-07-09 00:20:17,shipped,13294.31,South,Electronics,WH-DEL
ORD0022029,CUST009842,2026-04-09 13:56:51,delivered,6119.53,Central,Apparel,WH-BLR
ORD0004730,CUST003758,2026-04-02 18:43:12,delivered,3050.54,North,Toys,WH-DEL
ORD0027067,CUST000046,2026-03-18 11:45:17,placed,12911.55,East,Books,WH-DEL
ORD0025929,CUST006854,2026-07-24 11:40:38,cancelled,7660.56,East,Apparel,WH-MUM
ORD0037862,CUST005914,2026-01-13 19:22:04,delivered,4327.68,North,Electronics,WH-DEL
ORD0016196,CUST002953,2026-04-10 21:13:37,N/A,4151.25,North,Toys,WH-PUN
ORD0040819,CUST000401,2026-01-10 06:08:43,shipped,9962.23,North,Beauty,WH-BLR
ORD0012494,CUST002514,2026-04-21 00:38:24,shipped,7469.21,South,Electronics,WH-MUM
ORD0049196,CUST000780,2026-07-26 00:16:43,delivered,7325.02,North,Books,WH-DEL
ORD0039894,CUST007669,2026-01-01 05:44:57,delivered,1696.15,South,Books,WH-PUN
ORD0010358,CUST006916,2026-02-17 05:59:01,delivered,638.29,West,Toys,WH-PUN
ORD0033248,CUST001026,2026-03-30 23:09:47,delivered,8847.29,East,Toys,WH-PUN
ORD0012316,CUST008499,2026-02-14 12:35:08,cancelled,7674.28,North,Sports,WH-HYD
ORD0016442,CUST002721,2026-01-31 03:48:18,unknown,5263.74,North,Home,WH-DEL
ORD0035698,CUST006207,2026-03-26 00:35:13,placed,3983.1,South,Apparel,WH-HYD
ORD0038206,CUST002481,2026-05-20 10:02:49,placed,7266.15,West,Beauty,WH-DEL
ORD0032525,CUST007003,2026-05-29 11:23:03,PENDING,3635.47,North,Electronics,WH-DEL
ORD0012681,,2026-06-08 06:18:37,delivered,3263.29,West,Books,WH-DEL
ORD0044337,CUST005814,2026-06-15 07:14:03,delivered,6690.91,East,Home,WH-PUN
ORD0019895,CUST001054,2026-06-27 04:11:25,delivered,2129.36,North,Electronics,WH-PUN
ORD0032766,CUST003447,2026-06-23 22:44:21,shipped,6329.62,East,Books,WH-MUM
ORD0019192,CUST004594,2026-07-25 13:57:49,placed,441.78,South,Toys,WH-DEL
ORD0018798,CUST002244,2026-02-03 18:24:24,placed,12331.43,East,Apparel,WH-PUN
ORD0000578,CUST006922,2026-05-05 10:01:19,shipped,2783.36,North,Apparel,WH-DEL
ORD0046945,CUST005348,2026-06-09 06:52:38,delivered,3761.87,South,Beauty,WH-BLR
ORD0020465,CUST009039,2026-07-25 14:51:52,shipped,4117.17,East,Electronics,WH-HYD
ORD0011417,CUST007706,2026-02-02 01:09:20,placed,2665.92,East,Apparel,WH-MUM
ORD0028192,CUST003717,2026-05-22 02:41:08,delivered,9396.67,West,Apparel,WH-MUM
ORD0011185,CUST008165,2026-06-01 06:29:48,PENDING,3074.2,North,Sports,WH-HYD
ORD0034626,CUST006476,2026-04-10 06:34:32,placed,652.24,East,Beauty,WH-MUM
ORD0003870,CUST006930,2026-03-30 21:01:57,cancelled,8530.55,Central,Sports,WH-DEL
ORD0021278,CUST005624,2026-07-09 03:22:27,placed,14807.97,South,Apparel,WH-BLR
ORD0016563,CUST002536,2026-05-24 17:13:28,in_transit,12802.42,East,Home,WH-HYD
ORD0010008,CUST003109,2026-07-09 17:07:01,placed,4867.77,East,Electronics,WH-HYD
ORD0003998,CUST001392,2026-01-12 11:16:20,cancelled,6806.56,East,Electronics,WH-DEL
ORD0002716,CUST003669,2026-02-21 14:03:37,N/A,4186.71,East,Home,WH-HYD
ORD0047456,CUST004666,2026-03-09 10:49:51,delivered,7023.45,North,Books,WH-PUN
ORD0016106,,2026-02-26 18:41:35,delivered,5861.1,West,Home,WH-DEL
ORD0015426,CUST007799,2026-03-13 02:54:42,PENDING,12918.87,North,Beauty,WH-MUM
ORD0019333,CUST004080,2026-01-01 19:31:58,shipped,11767.12,North,Books,WH-BLR
ORD0042612,CUST000290,2026-01-01 11:14:33,cancelled,7698.46,Central,Books,WH-HYD
ORD0047657,CUST008545,2026-03-20 02:30:05,placed,12789.08,North,Electronics,WH-BLR
ORD0020855,CUST001484,2026-04-10 01:30:34,cancelled,3282.07,East,Electronics,WH-PUN
ORD0046823,CUST003785,2026-04-26 12:20:02,placed,9401.36,West,Electronics,WH-DEL
ORD0037685,CUST002891,2026-02-17 16:12:18,delivered,3703.56,Central,Electronics,WH-HYD
ORD0047852,CUST004136,2026-01-10 16:58:48,cancelled,11197.95,Central,Sports,WH-BLR
ORD0021923,CUST007951,2026-04-13 07:56:34,cancelled,2309.5,North,Books,WH-PUN
ORD0040845,CUST006435,2026-05-07 07:40:32,placed,2729.69,West,Books,WH-MUM
ORD0041107,CUST002228,2026-03-13 23:52:41,cancelled,13278.38,North,Sports,WH-DEL
ORD0021324,CUST005019,2026-07-20 06:44:22,N/A,7932.98,North,Sports,WH-PUN
ORD0032832,CUST000482,2026-07-04 06:05:44,proccessing,9291.22,Central,Beauty,WH-PUN
ORD0025664,CUST000936,2026-04-19 03:00:25,placed,10191.43,South,Toys,WH-HYD
ORD0030017,,2026-07-03 00:13:02,shipped,9258.4,West,Sports,WH-HYD
ORD0020011,CUST005620,2026-07-07 23:44:04,delivered,11025.97,South,Home,WH-MUM
ORD0001455,CUST008839,2026-03-28 21:42:18,shipped,1121.53,South,Beauty,WH-MUM
ORD0024835,CUST008187,2026-06-21 06:10:08,cancelled,10110.74,North,Apparel,WH-HYD
ORD0045961,CUST002765,2026-01-02 14:54:33,cancelled,8425.63,West,Home,WH-HYD
ORD0001419,CUST007937,2026-01-07 11:55:38,delivered,715.41,East,Toys,WH-DEL
ORD0016443,CUST008591,2026-02-20 06:01:11,cancelled,11422.31,South,Sports,WH-BLR
ORD0003728,CUST000480,2026-06-18 23:49:00,PENDING,7700.54,Central,Home,WH-BLR
ORD0002037,CUST005881,2026-03-18 23:26:29,shipped,14727.37,North,Apparel,WH-MUM
ORD0046902,CUST001975,2026-07-01 14:02:26,cancelled,11637.72,South,Books,WH-PUN
ORD0028818,CUST002726,2026-06-12 01:50:47,returnd,4754.36,South,Sports,WH-BLR
ORD0019713,CUST004156,2026-07-08 10:50:00,delivered,7379.5,East,Home,WH-MUM
ORD0042614,CUST009839,2026-07-15 14:41:21,delivered,11856.36,North,Sports,WH-HYD
ORD0023428,CUST008326,2026-02-17 18:43:48,placed,4759.86,South,Home,WH-DEL
ORD0010205,CUST008438,2026-03-01 15:01:28,cancelled,4018.51,East,Sports,WH-PUN
ORD0015198,CUST005580,2026-06-04 16:35:51,shipped,11404.71,East,Home,WH-BLR
ORD0013053,CUST007948,2026-05-18 06:19:53,placed,3995.86,South,Apparel,WH-HYD
ORD0023600,CUST003570,2026-05-07 13:43:03,shipped,11954.37,West,Apparel,WH-BLR
ORD0026455,CUST008189,2026-05-02 20:32:44,cancelled,7599.66,East,Apparel,WH-PUN
ORD0008660,CUST004596,2026-06-06 08:49:52,delivered,1713.39,North,Apparel,WH-BLR
ORD0025113,,2026-04-13 03:56:20,returnd,7815.63,South,Electronics,WH-HYD
ORD0046588,CUST009506,2026-04-11 20:18:52,shipped,8561.86,North,Home,WH-DEL
ORD0042167,CUST000589,2026-03-26 09:38:21,cancelled,518.05,North,Toys,WH-MUM
ORD0008709,CUST000709,2026-02-08 11:18:32,cancelled,1899.28,South,Home,WH-MUM
ORD0023492,CUST006457,2026-07-06 02:11:50,N/A,6513.22,West,Apparel,WH-HYD
ORD0008041,CUST000933,2026-03-10 13:07:53,shipped,10915.58,East,Toys,WH-HYD
ORD0002534,CUST005797,2026-06-02 06:55:06,placed,2973.09,South,Toys,WH-DEL
ORD0001391,CUST006667,2026-06-09 04:41:23,shipped,6133.74,Central,Apparel,WH-BLR
ORD0045551,CUST009717,2026-02-23 20:14:26,cancelled,12382.74,North,Sports,WH-DEL
ORD0042848,CUST008618,2026-02-14 15:03:34,shipped,2449.32,North,Toys,WH-DEL
ORD0007136,CUST007592,2026-03-02 08:39:38,delivered,12780.9,East,Sports,WH-PUN
ORD0003601,CUST003105,2026-02-20 04:12:37,cancelled,1842.45,Central,Beauty,WH-PUN
ORD0026384,CUST002252,2026-04-13 17:06:33,delivered,12495.74,Central,Home,WH-PUN
ORD0020249,CUST007235,2026-05-13 12:36:48,delivered,9814.42,South,Home,WH-DEL
ORD0045076,CUST002683,2026-01-02 02:47:01,shipped,10319.05,North,Toys,WH-HYD
ORD0004521,CUST002102,2026-06-05 00:19:17,placed,2978.44,West,Electronics,WH-HYD
ORD0030724,CUST004617,2026-01-18 19:14:30,delivered,6902.53,West,Home,WH-PUN
ORD0042063,CUST006643,2026-06-01 06:36:16,proccessing,7604.42,West,Apparel,WH-MUM
ORD0034377,CUST008321,2026-03-04 05:48:37,delivered,3718.27,West,Sports,WH-HYD
ORD0013199,CUST002193,2026-07-26 20:16:26,placed,440.06,Central,Electronics,WH-PUN
ORD0013654,CUST003121,2026-07-18 09:39:17,delivered,11748.9,South,Toys,WH-BLR
ORD0048143,CUST005072,2026-02-21 06:17:30,placed,13840.67,South,Books,WH-HYD
ORD0049316,CUST003991,2026-02-15 20:38:46,cancelled,2649.85,East,Apparel,WH-MUM
ORD0006245,CUST006329,2026-02-04 05:27:02,cancelled,981.58,West,Toys,WH-BLR
ORD0033280,CUST005460,2026-05-13 14:33:33,delivered,4807.04,West,Sports,WH-PUN
ORD0017091,CUST000122,2026-01-25 22:04:21,cancelled,10734.46,Central,Toys,WH-PUN
ORD0035170,CUST009432,2026-01-07 23:31:00,placed,10048.18,East,Toys,WH-PUN
ORD0037071,CUST001099,2026-07-07 21:20:06,,11447.92,South,Sports,WH-HYD
ORD0013833,CUST004232,2026-07-30 11:06:47,delivered,3288.32,East,Electronics,WH-BLR
ORD0025772,CUST000648,2026-07-17 09:51:30,cancelled,13617.87,Central,Apparel,WH-BLR
ORD0027346,CUST000976,2026-06-08 01:56:11,unknown,9592.68,Central,Sports,WH-BLR
ORD0026642,CUST006042,2026-01-06 22:02:48,shipped,13911.02,East,Home,WH-MUM
ORD0023283,CUST003445,2026-07-17 23:44:04,unknown,2694.83,Central,Beauty,WH-PUN
ORD0001735,CUST007397,2026-06-24 06:26:56,placed,13323.57,Central,Electronics,WH-DEL
ORD0007367,CUST006513,2026-04-24 21:10:54,shipped,14654.16,West,Toys,WH-BLR
ORD0023404,CUST009188,2026-06-05 23:39:56,proccessing,7129.86,East,Home,WH-DEL
ORD0041796,CUST008975,2026-06-08 19:25:00,returnd,7512.27,Central,Sports,WH-BLR
ORD0035260,CUST009451,2026-01-12 15:13:34,shipped,947.79,Central,Home,WH-PUN
ORD0032390,CUST009495,2026-03-19 18:56:23,placed,7246.26,East,Sports,WH-MUM
ORD0039753,CUST001483,2026-03-04 18:34:33,delivered,13034.09,North,Toys,WH-BLR
ORD0018918,CUST006681,2026-04-29 02:54:43,shipped,5769.68,North,Books,WH-BLR
ORD0028191,CUST003122,2026-04-11 13:05:59,delivered,11232.61,North,Apparel,WH-BLR
ORD0030470,CUST000953,2026-05-23 16:40:43,shipped,8355.31,East,Toys,WH-DEL
ORD0015385,CUST004056,2026-06-23 08:47:28,shipped,8403.53,Central,Toys,WH-PUN
ORD0004077,CUST004325,2026-02-16 03:04:42,placed,1940.74,Central,Electronics,WH-HYD
ORD0024872,CUST005518,2026-06-30 01:40:13,unknown,14517.89,East,Beauty,WH-HYD
ORD0044151,CUST008223,2026-07-09 16:46:25,cancelled,1894.25,East,Toys,WH-BLR
ORD0019093,CUST007871,2026-01-19 03:12:45,shipped,10675.86,West,Home,WH-DEL
ORD0037370,CUST006477,2026-02-21 11:19:30,cancelled,4796.66,South,Beauty,WH-PUN
ORD0034534,CUST003629,2026-05-12 07:28:52,delivered,6500.63,East,Beauty,WH-HYD
ORD0040333,CUST009999,2026-07-20 10:49:45,cancelled,4832.36,West,Toys,WH-DEL
ORD0031094,CUST006611,2026-07-30 18:12:52,cancelled,6044.9,West,Beauty,WH-DEL
ORD0004184,CUST009673,2026-02-23 11:31:21,returnd,10587.14,East,Beauty,WH-PUN
ORD0017681,CUST009449,2026-06-12 15:19:27,delivered,5134.46,South,Beauty,WH-HYD
ORD0041243,CUST008966,2026-01-19 00:10:01,cancelled,925.78,Central,Toys,WH-HYD
ORD0049905,CUST006624,2026-04-26 22:43:19,cancelled,6019.59,West,Sports,WH-DEL
ORD0011401,CUST005998,2026-01-30 02:19:57,cancelled,2971.07,North,Apparel,WH-MUM
ORD0037035,CUST001156,2026-07-27 09:36:30,PENDING,5361.37,Central,Sports,WH-HYD
ORD0017651,CUST007793,2026-06-03 00:47:47,N/A,6840.85,West,Beauty,WH-MUM
ORD0005836,CUST005301,2026-06-15 23:34:58,PENDING,1905.29,Central,Electronics,WH-MUM
ORD0014771,CUST004120,2026-04-16 03:31:39,placed,12498.58,Central,Home,WH-HYD
ORD0034946,CUST004261,2026-02-05 22:12:41,delivered,8076.01,South,Beauty,WH-BLR
ORD0042440,CUST007535,2026-06-27 09:28:30,,9287.71,Central,Electronics,WH-MUM
ORD0045521,CUST008390,2026-07-25 18:38:20,PENDING,12447.85,East,Beauty,WH-PUN
ORD0038578,CUST000485,2026-03-13 05:38:49,cancelled,10483.96,North,Home,WH-HYD
ORD0049567,CUST000724,2026-05-16 23:23:59,shipped,8913.08,North,Apparel,WH-HYD
ORD0037479,CUST009252,2026-07-23 05:13:43,shipped,10218.77,West,Apparel,WH-MUM
ORD0032698,CUST006849,2026-02-02 18:31:00,shipped,2062.06,West,Books,WH-PUN
ORD0006363,CUST008829,2026-06-22 04:50:01,returnd,2285.68,South,Sports,WH-MUM
ORD0002129,CUST003304,2026-05-13 07:15:39,shipped,6918.37,South,Electronics,WH-DEL
ORD0035988,CUST009786,2026-01-24 10:38:58,cancelled,10410.4,North,Books,WH-HYD
ORD0037992,CUST007536,2026-05-07 19:05:33,delivered,12234.2,East,Apparel,WH-DEL
ORD0044811,CUST009866,2026-03-19 20:52:38,shipped,13660.34,West,Sports,WH-DEL
ORD0004692,CUST005980,2026-04-02 04:51:44,placed,7851.93,South,Electronics,WH-MUM
ORD0003048,CUST003972,2026-04-26 07:02:38,N/A,3085.9,South,Apparel,WH-DEL
ORD0043281,CUST001233,2026-05-16 22:55:27,cancelled,2140.45,South,Apparel,WH-BLR
ORD0046891,CUST002925,2026-05-15 23:15:42,cancelled,7143.74,North,Electronics,WH-PUN
ORD0003511,CUST007513,2026-06-13 05:23:46,placed,4303.12,East,Books,WH-MUM
ORD0002814,CUST005816,2026-03-10 01:13:37,placed,1408.55,North,Electronics,WH-DEL
ORD0017428,CUST004486,2026-01-09 08:59:38,placed,12040.77,Central,Apparel,WH-BLR
ORD0043190,CUST002769,2026-03-05 17:58:58,proccessing,7369.23,Central,Home,WH-PUN
ORD0008412,CUST000469,2026-07-26 23:29:54,unknown,1186.7,East,Apparel,WH-PUN
ORD0037163,CUST005337,2026-04-23 22:41:46,shipped,10970.28,East,Beauty,WH-PUN
ORD0002323,CUST005642,2026-04-25 23:28:43,delivered,6016.83,South,Sports,WH-MUM
ORD0022137,CUST003313,2026-06-22 17:09:31,delivered,10129.25,East,Electronics,WH-MUM
ORD0034442,CUST006893,2026-07-15 14:26:26,delivered,12758.84,East,Home,WH-MUM
ORD0029032,CUST003092,2026-04-28 08:26:13,cancelled,6832.66,North,Electronics,WH-BLR
ORD0014144,CUST006605,2026-05-14 19:51:02,placed,13323.75,North,Apparel,WH-BLR
ORD0009200,CUST004847,2026-07-27 22:06:29,delivered,10490.67,North,Sports,WH-PUN
ORD0036100,CUST009795,2026-06-24 08:41:57,delivered,5702.33,West,Sports,WH-HYD
ORD0001440,CUST002089,2026-01-05 11:50:49,shipped,10405.63,South,Toys,WH-MUM
ORD0014714,CUST005254,2026-01-29 07:14:35,cancelled,10080.02,South,Toys,WH-DEL
ORD0024137,CUST002754,2026-05-26 19:21:54,proccessing,9567.53,Central,Apparel,WH-DEL
ORD0040774,CUST001393,2026-07-28 04:33:50,cancelled,4176.59,East,Electronics,WH-MUM
ORD0031236,CUST003674,2026-07-05 18:39:25,delivered,11957.66,West,Electronics,WH-PUN
ORD0048267,CUST002960,2026-03-26 19:45:15,placed,4095.58,East,Home,WH-BLR
ORD0046128,CUST009767,2026-06-07 09:12:45,delivered,1565.08,Central,Toys,WH-PUN
ORD0009109,CUST005449,2026-04-05 13:04:22,cancelled,13800.36,North,Home,WH-MUM
ORD0041316,CUST002179,2026-06-15 11:12:18,cancelled,14888.94,West,Books,WH-BLR
ORD0003303,CUST003792,2026-06-23 19:55:20,placed,8683.62,North,Sports,WH-DEL
ORD0007453,CUST003898,2026-06-06 13:03:08,N/A,7649.95,East,Electronics,WH-HYD
ORD0034568,CUST002323,2026-06-22 21:33:57,delivered,2385.76,Central,Sports,WH-HYD
ORD0035762,CUST005707,2026-04-04 11:40:22,delivered,4851.29,West,Apparel,WH-BLR
ORD0010270,CUST004346,2026-01-13 15:31:16,placed,5318.33,West,Sports,WH-DEL
ORD0011253,CUST004775,2026-01-07 19:04:42,shipped,13374.43,West,Apparel,WH-PUN
ORD0034577,CUST001835,2026-05-11 09:07:47,PENDING,9124.18,East,Electronics,WH-BLR
ORD0043246,CUST007734,2026-06-14 04:17:58,unknown,7673.67,North,Books,WH-DEL
ORD0034175,CUST005147,2026-05-10 15:02:54,delivered,8094.93,East,Toys,WH-DEL
ORD0024121,CUST000874,2026-06-18 23:00:39,cancelled,12427.2,East,Books,WH-BLR
ORD0044523,CUST005611,2026-01-05 22:39:44,cancelled,2177.97,South,Beauty,WH-PUN
ORD0040036,CUST008332,2026-03-07 09:17:24,proccessing,13396.98,South,Beauty,WH-BLR
ORD0040072,CUST008220,2026-06-12 19:14:32,delivered,744.28,Central,Beauty,WH-HYD
ORD0014246,CUST004064,2026-05-31 00:52:09,cancelled,5622.55,North,Toys,WH-HYD
ORD0021431,CUST005398,2026-06-01 03:22:27,returnd,5074.61,North,Sports,WH-DEL
ORD0024212,CUST008396,2026-03-28 02:42:12,shipped,6982.08,East,Home,WH-BLR
ORD0037931,CUST004940,2026-06-21 22:42:53,placed,273.55,Central,Electronics,WH-HYD
ORD0006136,CUST004300,2026-01-06 14:22:34,cancelled,2902.48,East,Books,WH-DEL
ORD0006150,CUST003619,2026-03-08 03:12:56,placed,14697.26,South,Books,WH-HYD
ORD0017522,CUST008857,2026-02-18 19:23:35,placed,763.07,East,Books,WH-DEL
ORD0002856,CUST002447,2026-01-06 11:25:08,shipped,2962.93,Central,Home,WH-PUN
ORD0028865,CUST001736,2026-07-16 02:05:17,proccessing,8223.47,Central,Home,WH-MUM
ORD0016281,CUST008412,2026-02-03 07:07:59,shipped,10760.0,Central,Electronics,WH-MUM
ORD0020601,CUST006363,2026-03-05 15:03:01,cancelled,4750.82,North,Toys,WH-HYD
ORD0014636,CUST001080,2026-05-05 21:26:49,delivered,1393.09,South,Apparel,WH-HYD
ORD0034924,CUST009320,2026-06-21 11:27:15,in_transit,4948.83,South,Sports,WH-PUN
ORD0043819,CUST008095,2026-01-08 19:01:35,cancelled,1982.53,West,Home,WH-BLR
ORD0037915,CUST001746,2026-02-06 20:04:49,delivered,1571.28,West,Sports,WH-PUN
ORD0002635,CUST006176,2026-01-14 19:12:49,delivered,7533.8,Central,Electronics,WH-HYD
ORD0048458,CUST001283,2026-07-04 16:34:07,shipped,11601.9,North,Toys,WH-DEL
ORD0028143,CUST005113,2026-05-19 17:47:20,cancelled,5293.19,West,Home,WH-MUM
ORD0010222,CUST004489,2026-05-23 14:57:02,N/A,8329.88,West,Beauty,WH-BLR
ORD0032659,CUST007826,2026-05-05 17:48:40,in_transit,3053.97,East,Electronics,WH-DEL
ORD0032587,CUST002175,2026-04-08 15:46:24,shipped,10922.7,West,Books,WH-MUM
ORD0031213,CUST003309,2026-03-18 04:45:49,delivered,13140.34,East,Home,WH-BLR
ORD0039802,CUST006827,2026-02-14 14:18:54,cancelled,4593.32,East,Sports,WH-PUN
ORD0043961,CUST000435,2026-07-18 15:47:04,cancelled,5038.57,North,Electronics,WH-BLR
ORD0040094,CUST008128,2026-05-28 22:12:22,delivered,2493.02,South,Books,WH-HYD
ORD0044663,CUST007349,2026-06-27 22:23:35,cancelled,2702.49,West,Books,WH-PUN
ORD0000861,CUST003175,2026-01-18 14:47:57,placed,5179.61,East,Toys,WH-PUN
ORD0031159,CUST002735,2026-03-21 22:28:44,cancelled,10770.67,West,Home,WH-PUN
ORD0015627,CUST007587,2026-07-05 12:41:28,cancelled,13064.79,West,Apparel,WH-DEL
ORD0020788,CUST001522,2026-06-27 02:01:30,placed,3443.35,South,Electronics,WH-HYD
ORD0030572,CUST003569,2026-04-18 10:48:40,placed,11682.68,East,Toys,WH-HYD
ORD0009620,CUST004983,2026-03-10 06:05:40,placed,6120.04,East,Toys,WH-PUN
ORD0014086,CUST008457,2026-04-21 03:43:09,shipped,6443.9,East,Sports,WH-DEL
ORD0048485,CUST001212,2026-02-06 05:31:36,placed,4449.65,Central,Books,WH-PUN
ORD0045161,CUST009570,2026-01-31 11:56:33,placed,4508.79,South,Home,WH-PUN
ORD0009665,CUST001920,2026-03-18 18:05:05,shipped,10028.5,Central,Toys,WH-HYD
ORD0027910,CUST001423,2026-05-31 20:43:25,placed,1076.2,West,Books,WH-BLR
ORD0035045,CUST001424,2026-06-17 19:39:23,shipped,9208.74,West,Sports,WH-PUN
ORD0022845,CUST004477,2026-03-13 20:52:31,placed,10823.76,South,Electronics,WH-MUM
ORD0043182,CUST003206,2026-06-24 08:01:36,N/A,7318.48,North,Electronics,WH-HYD
ORD0015594,CUST007563,2026-03-03 09:30:29,placed,13013.26,East,Beauty,WH-PUN
ORD0045930,CUST007689,2026-01-12 08:17:01,placed,6097.0,East,Sports,WH-HYD
ORD0028686,CUST000946,2026-03-14 05:03:47,shipped,1908.96,North,Beauty,WH-BLR
ORD0020517,CUST005427,2026-05-21 15:40:07,shipped,8415.48,South,Beauty,WH-MUM
